bill_num,amended,short_outcome,final_action,house_vote_date,senate_vote_date,leg_cosponsors,floor_sponsors,gov_action,short_desc,long_desc,topics_all,topics_coded,t1,t1_aye,t2,t2_aye,t3,t3_aye,t4,t4_aye,t5,t5_aye,bill_group,link,notes
H0089,,LAW,"Reported Signed by Governor on March 8, 2019; Session Law Chapter 65; Effective: 07/01/2019",2019-02-22,2019-03-04,"['Representative Scott Syme', 'Representative Vito Barbieri', 'Representative Gayann De', 'Representative Priscilla Giddings', 'Representative James Holtzclaw', 'Representative Clark Kauffman', 'Representative Tammy Nichols', 'Representative Joe Palmer', 'Representative Melissa Wintrow', 'Representative Rick Youngblood', 'Senator Abby Lee', 'Senator Jeff Agenbroad', 'Senator Don Cheatham', 'Senator Patti Anne']","['Representative Syme', 'Senator Lee']",Signed,HIGHWAYS AND BRIDGES - Amends current law to designate the portion of U.S. 20 that passes through Idaho as the Idaho Medal of Honor Highway.,,,,,,,,,,,,,,,https://legislature.idaho.gov/sessioninfo/2019/legislation/H0089/,
H0090,,LAW,"Reported Signed by Governor on March 12, 2019; Session Law Chapter 71; Effective: 07/01/2019",2019-02-20,2019-03-06,,"['Representative Monks', 'Senator Burtenshaw']",Signed,"RECREATIONAL ACTIVITIES - Amends existing law to revise the definitions of ""ATV"" and ""UTV.""",,,,,,,,,,,,,,,https://legislature.idaho.gov/sessioninfo/2019/legislation/H0090/,
H0091,,LAW,"Reported Signed by Governor on March 12, 2019; Session Law Chapter 70; Effective: 03/12/2019",2019-02-20,2019-03-06,,"['Representative Vander Woude', 'Senator Den Hartog']",Signed,"DEVELOPMENT IMPACT FEES - Amends existing law to revise the definition of ""development"" to exclude activities undertaken by public charter schools.",,,,,,,,,,,,,,,https://legislature.idaho.gov/sessioninfo/2019/legislation/H0091/,
H0092,,H Loc Gov,02/06; Reported Printed and Referred to Local Government,,,,,,ANNEXATION - Amends existing law to provide requirements regarding annexation of certain forest land.,,,,,,,,,,,,,,,https://legislature.idaho.gov/sessioninfo/2019/legislation/H0092/,
H0093,Amended,LAW,"Reported Signed by Governor on March 29, 2019; Session Law Chapter 259; Effective: 07/01/2019",2019-03-25,2019-03-18,"['Representative Ryan Kerby', 'Representative Jerald Raymond', 'Representative Wendy Horman', 'Representative Terry Gestrin', 'Representative Randy Armstrong', 'Representative Steven Harris', 'Representative John Vander', 'Representative Bryan Zollinger', 'Representative Thomas Dayley', 'Representative Barbara Ehardt']","['Representative DeMordaunt', 'Representative Boyle', 'Senator Lent']",Signed,EDUCATION - Amends existing law to provide that approved nontraditional educator preparation programs may receive funding under certain circumstances.,,,,,,,,,,,,,,,https://legislature.idaho.gov/sessioninfo/2019/legislation/H0093/,
H0094,,LAW,"Reported Signed by Governor on March 18, 2019; Session Law Chapter 91; Effective: 07/01/2019",2019-02-19,2019-03-12,,"['Representative Raybould', 'Senator Woodward']",Signed,LIQUEFIED PETROLEUM GAS - Adds to existing law to prohibit the filling of liquefied petroleum gas containers under certain conditions.,,,,,,,,,,,,,,,https://legislature.idaho.gov/sessioninfo/2019/legislation/H0094/,
H0095,,H Transp,02/07; Reported Printed and Referred to Transportation & Defense,,,,,,MOTOR VEHICLES - Amends existing law regarding application for motor vehicle registration to require the applicant to show proof of insurance.,,,,,,,,,,,,,,,https://legislature.idaho.gov/sessioninfo/2019/legislation/H0095/,
H0096,,H Res/Con,02/07; Reported Printed and Referred to Resources & Conservation,,,,,,OUTFITTERS AND GUIDES - Amends existing law to revise outfitted hunter tags set-aside provisions; to revise deer and elk tag provisions; and to revise provisions regarding the powers and duties of the Idaho Outfitters and Guides Licensing Board.,,,,,,,,,,,,,,,https://legislature.idaho.gov/sessioninfo/2019/legislation/H0096/,
H0097,,LAW,"Reported Signed by Governor on March 22, 2019; Session Law Chapter 176; Effective: 07/01/2019",2019-02-28,2019-03-18,,"['Representative Addis', 'Senator Patrick']",Signed,FISH AND GAME - Amends existing law to revise provisions regarding the duties and liability of certain owners of land.,,,,,,,,,,,,,,,https://legislature.idaho.gov/sessioninfo/2019/legislation/H0097/,
H0098,,H FAILED,02/28; Read Third Time in Full - FAILED - 28-39-3,2019-02-28,,"['Representative Melissa Wintrow', 'Representative Caroline Troy', 'Representative Muffy Davis', 'Representative Ryan Kerby', 'Representative John Mc', 'Senator Steven Thayn', 'Senator Grant Burgoyne']",,,"MARRIAGE - Amends existing law to provide that a marriage license shall not be issued without order of the court in certain instances, to revise a provision regarding persons under the age of 18 years, to provide for the best interest of the child, and to provide that a marriage license may not be issued in certain instances.",,,,,,,,,,,,,,,https://legislature.idaho.gov/sessioninfo/2019/legislation/H0098/,
H0099,,S Jud,"Introduced, read first time; referred to: Judiciary & Rules",2019-03-04,,"['Representative Ilana Rubel', 'Representative Bryan Zollinger', 'Representative Chris Abernathy', 'Representative Sue Chew', 'Representative Muffy Davis', 'Representative Gayann De', 'Representative Barbara Ehardt', 'Representative Mathew Erpelding', 'Representative John Gannon', 'Representative Terry Gestrin', 'Representative Priscilla Giddings', 'Representative John Green', 'Representative Brooke Green', 'Representative Ryan Kerby', 'Representative Mike Kingsley', 'Representative Rob Mason', 'Representative John Mc', 'Representative Ron Mendive', 'Representative Dorothy Moon', 'Representative Tammy Nichols', 'Representative Heather Scott', 'Representative Paul Shepherd', 'Representative Elaine Smith', 'Representative Sally Toone', 'Representative Caroline Troy', 'Representative Tony Wisniewski', 'Representative Julianne Young', 'Representative Christy Zito', 'Representative Steven Harris', 'Representative Vito Barbieri']","['Representative Zollinger', 'Representative Rubel']",,CONTROLLED SUBSTANCES - Amends existing law to revise provisions regarding sentences for trafficking of controlled substances.,,,,,,,,,,,,,,,https://legislature.idaho.gov/sessioninfo/2019/legislation/H0099/,
H0100,,S St Aff,"Introduced, read first time; referred to: State Affairs",2019-02-15,,,['Representative Moyle'],,ADMINISTRATIVE RULES - Amends existing law to provide that all pending rules shall be approved by a concurrent resolution.,,,,,,,,,,,,,,,https://legislature.idaho.gov/sessioninfo/2019/legislation/H0100/,
H0101,,H Jud,"02/07; Reported Printed and Referred to Judiciary, Rules & Administration",,,,,,"CHILD PROTECTION - Adds to existing law to require a notification of rights to parents or other concerned persons during an investigation of child abuse, neglect, or abandonment.",,,,,,,,,,,,,,,https://legislature.idaho.gov/sessioninfo/2019/legislation/H0101/,
H0102,,H Rev/Tax,02/18; U.C. to be returned to Revenue & Taxation Committee,,,,,,TAX COMMISSION - Amends existing law to provide that certain actions of the State Tax Commission and the State Board of Equalization will be governed by the Idaho Administrative Procedure Act.,,,,,,,,,,,,,,,https://legislature.idaho.gov/sessioninfo/2019/legislation/H0102/,
