bill_num,amended,short_outcome,final_action,house_vote_date,senate_vote_date,leg_cosponsors,floor_sponsors,gov_action,short_desc,long_desc,topics_all,topics_coded,t1,t1_aye,t2,t2_aye,t3,t3_aye,t4,t4_aye,t5,t5_aye,bill_group,link,notes
S1412,,LAW,Signed by Governor on 03/31/16; Session Law Chapter 311; Effective: 07/01/2016,2016-03-23,2016-03-21,,"['Senator Mortimer', 'Representative Horman']",Signed,"APPROPRIATIONS - OFFICE OF STATE BOARD OF EDUCATION - Appropriates $7,081,000 to the Office of the State Board of Education for fiscal year 2017; limits the number of authorized full-time equivalent positions to 28.75; and authorizes the reappropriation of certain funds.",,,,,,,,,,,,,,,https://legislature.idaho.gov/sessioninfo/2016/legislation/S1412/,
S1413,,LAW,Signed by Governor on 03/31/16; Session Law Chapter 312; Effective: 07/01/2016,2016-03-23,2016-03-21,,"['Senator Bair', 'Representative Malek']",Signed,"APPROPRIATIONS - HEALTH AND WELFARE - INDEPENDENT COUNCILS/INDIRECT SUPPORT SERVICES/HEALTHCARE POLICY INITIATIVES/LICENSING AND CERTIFICATION - Appropriates $67,479,300 to the Department of Health and Welfare for the divisions of Independent Councils, Indirect Support Services, Healthcare Policy Initiatives and Licensing and Certification for fiscal year 2017; limits the number of authorized full-time equivalent positions to 376.5; provides for General Fund transfers to the Cooperative Welfare Fund; directs expenditures for trustee and benefit payments; limits services to available resources; requires a report on VOCA funds; requires a monthly Medicaid tracking report; requires a biannual Medicaid Integrity Unit report; requires quarterly transfer reports; requires monthly vacancy reports; requires a report on the implementation of the SHIP grant; and requires a report on facility licensing and certification.",,,,,,,,,,,,,,,https://legislature.idaho.gov/sessioninfo/2016/legislation/S1413/,
S1414,,LAW,Signed by Governor on 03/31/16; Session Law Chapter 313; Effective: 07/01/2016,2016-03-24,2016-03-22,,"['Senator Brackett', 'Representative Burtenshaw']",Signed,"APPROPRIATIONS - WOLF CONTROL BOARD - Appropriates and transfers $400,000 from the General Fund to the Wolf Control Fund for fiscal year 2017.",,,,,,,,,,,,,,,https://legislature.idaho.gov/sessioninfo/2016/legislation/S1414/,
S1415,,LAW,Signed by Governor on 03/31/16; Session Law Chapter 336; Effective: 07/01/2016,2016-03-24,2016-03-22,,"['Senator Bair', 'Representative Burtenshaw']",Signed,"APPROPRIATIONS - ENVIRONMENTAL QUALITY DEPARTMENT - Appropriates $67,332,600 to the Department of Environmental Quality for fiscal year 2017; limits the number of authorized full-time equivalent positions to 372; transfers $1.5 million from the Water Pollution Control Fund to the Environmental Remediation Basin Fund; expresses legislative intent regarding an annual report; and expresses legislative intent regarding uses of the Water Pollution Control Fund.",,,,,,,,,,,,,,,https://legislature.idaho.gov/sessioninfo/2016/legislation/S1415/,
S1416,,LAW,Signed by Governor on 03/31/16; Session Law Chapter 337; Effective: 07/01/2016,2016-03-24,2016-03-22,,"['Senator Brackett', 'Representative Miller']",Signed,"APPROPRIATIONS - SOIL AND WATER CONSERVATION COMMISSION - Appropriates $3,158,500 to the Soil and Water Conservation Commission for fiscal year 2017; limits the number of authorized full-time equivalent positions to 17.75; provides legislative intent regarding distributions to the districts; and provides legislative intent regarding the use of moneys for North Central Idaho Wildfire Restoration.",,,,,,,,,,,,,,,https://legislature.idaho.gov/sessioninfo/2016/legislation/S1416/,
S1417,,LAW,Signed by Governor on 03/31/16; Session Law Chapter 314; Effective: 03/31/2016 - Sections 1 & 4;; 07/01/2016 - Sections 2 & 3,2016-03-24,2016-03-22,,"['Senator Bair', 'Representative Burtenshaw']",Signed,"APPROPRIATIONS - DEPARTMENT OF AGRICULTURE - Appropriates an additional $300,000 to the Department of Agriculture for fiscal year 2016; appropriates $40,428,500 to the Department of Agriculture for fiscal year 2017; limits the number of authorized full-time equivalent positions to 200; and provides legislative intent regarding use of the Invasive Species Fund.",,,,,,,,,,,,,,,https://legislature.idaho.gov/sessioninfo/2016/legislation/S1417/,
S1418,,LAW,Signed by Governor on 03/31/16; Session Law Chapter 315; Effective: 03/31/2016,2016-03-24,2016-03-22,,"['Senator Johnson', 'Representative Gibbs']",Signed,"APPROPRIATIONS - SECRETARY OF STATE - Appropriates an additional $258,000 to the Secretary of State for fiscal year 2016 for an online voter registration system.",,,,,,,,,,,,,,,https://legislature.idaho.gov/sessioninfo/2016/legislation/S1418/,
S1419,,LAW,Signed by Governor on 03/31/16; Session Law Chapter 316; Effective: 03/31/2016 - Section 1;; 07/01/2016 - All other sections,2016-03-24,2016-03-22,,"['Senator Lacey', 'Representative Monks']",Signed,"APPROPRIATIONS - DEPARTMENT OF ADMINISTRATION - Appropriates and transfers an additional $13,140,000 from the General Fund to the Department of Administration for fiscal year 2016; appropriates $20,274,700 to the Department of Administration for fiscal year 2017; limits the number of authorized full-time equivalent positions to 138;  provides a dedicated fund cash transfer; provides notification of a contract renewal or extension; directs continuation of health insurance premium cost sharing with state employees; and provides legislative intent regarding the employee group insurance plan structure.",,,,,,,,,,,,,,,https://legislature.idaho.gov/sessioninfo/2016/legislation/S1419/,
S1420,,LAW,Signed by Governor on 04/05/16; Session Law Chapter 371; Effective: 07/01/2016,2016-03-24,2016-03-22,,"['Senator Davis', 'Representative Moyle']",Signed,DISTRICT JUDGES - Amends existing law regarding salaries of district judges.,,,,,,,,,,,,,,,https://legislature.idaho.gov/sessioninfo/2016/legislation/S1420/,
S1421,,LAW,Signed by Governor on 03/31/16; Session Law Chapter 317; Effective: 03/31/2016,2016-03-24,2016-03-22,,"['Senator Keough', 'Representative Gibbs']",Signed,"APPROPRIATIONS - Appropriates and transfers $2,000,000 from the General Fund to the Constitutional Defense Fund in fiscal year 2016; and appropriates $971,700 from the General Fund to the Department of Administration for the Purchasing Program for fiscal year 2016.",,,,,,,,,,,,,,,https://legislature.idaho.gov/sessioninfo/2016/legislation/S1421/,
S1422,,LAW,Signed by Governor on 04/05/16; Session Law Chapter 372; Effective: 04/05/2016 - Sections 1 & 2;; 07/01/2016 - All other sections,2016-03-24,2016-03-22,,"['Senator Lacey', 'Representative Monks']",Signed,"APPROPRIATIONS - PERMANENT BUILDING FUND - Appropriates an additional $2,897,000 for the Permanent Building Fund for fiscal year 2016; authorizes the allocation of funds for specific projects for fiscal year 2016; appropriates $26,729,700 from the Permanent Building Fund for fiscal year 2017; authorizes the allocation of funds for specific projects for fiscal year 2017; provides legislative intent relating to utilization of matching funds; exempts the appropriation from certain provisions; and provides legislative intent relating to reallocation of project savings.",,,,,,,,,,,,,,,https://legislature.idaho.gov/sessioninfo/2016/legislation/S1422/,
S1423,,LAW,"Signed by Governor on 03/31/16; Session Law Chapter 318; Effective: 03/31/2016 - Sections 1, 9 & 10;; 07/01/2016 - All other sections",2016-03-24,2016-03-23,,"['Senator Brackett', 'Representative Youngblood']",Signed,"APPROPRIATIONS - IDAHO TRANSPORTATION DEPARTMENT - Appropriates an additional $55,839,00 to the Idaho Transportation Department for fiscal year 2016; appropriates $655,885,100 for fiscal year 2017; limits the number of authorized full-time equivalent positions to 1,678; expresses legislative intent for continuously appropriated funds; authorizes the transfer of moneys to the Tourism and Promotion Fund; provides reappropriation authority for dedicated funds; provides reappropriation authority for airport development grants; authorizes a transfer of funds for debt service; provides a cash transfer to the GARVEE Debt Service Fund; and provides a cash transfer to the Local Highway Trust Fund.",,,,,,,,,,,,,,,https://legislature.idaho.gov/sessioninfo/2016/legislation/S1423/,
S1424,,LAW,"Signed by Governor on 03/31/16; Session Law Chapter 319; Effective: 03/31/2016 - Section 1;; 07/01/2016 - Sections 2, 3 & 4",2016-03-24,2016-03-22,,"['Senator Mortimer', 'Representative Horman']",Signed,"APPROPRIATIONS - SUPERINTENDENT OF PUBLIC INSTRUCTION - Reduces the fiscal year 2016 appropriation by $5,500,000; appropriates $38,190,800 to the Superintendent of Public Instruction for fiscal year 2017; limits the number of authorized full-time equivalent positions to 142; and provides legislative intent related to school district broadband services.",,,,,,,,,,,,,,,https://legislature.idaho.gov/sessioninfo/2016/legislation/S1424/,
S1425,,LAW,Signed by Governor on 03/31/16; Session Law Chapter 320; Effective: 07/01/2016,2016-03-24,2016-03-22,,"['Senator Mortimer', 'Representative Horman']",Signed,"APPROPRIATIONS - STEM ACTION CENTER - Appropriates $2,421,700 to the STEM Action Center for fiscal year 2017; and limits the number of authorized full-time equivalent positions to 2.",,,,,,,,,,,,,,,https://legislature.idaho.gov/sessioninfo/2016/legislation/S1425/,
S1426,,LAW,Signed by Governor on 03/31/16; Session Law Chapter 321; Effective: 07/01/2016,2016-03-24,2016-03-23,,"['Senator Lacey', 'Representative Burtenshaw']",Signed,"APPROPRIATIONS - AGRICULTURAL RESEARCH AND COOPERATIVE EXTENSION SERVICE - Appropriates $30,540,700 to the Agricultural Research and Cooperative Extension Service for fiscal year 2017; and exempts object transfer limitations.",,,,,,,,,,,,,,,https://legislature.idaho.gov/sessioninfo/2016/legislation/S1426/,
S1427,,LAW,Signed by Governor on 03/31/16; Session Law Chapter 322; Effective: 07/01/2016,2016-03-24,2016-03-23,,"['Senator Keough', 'Representative Youngblood']",Signed,"APPROPRIATIONS - SUPREME COURT - Appropriates to the Supreme Court an additional $815,700 from the General Fund for fiscal year 2017; and exempts the appropriation from object and program transfer limitations.",,,,,,,,,,,,,,,https://legislature.idaho.gov/sessioninfo/2016/legislation/S1427/,
S1428,,LAW,Signed by Governor on 03/30/16; Session Law Chapter 274; Effective: 03/30/2016,2016-03-25,2016-03-23,,"['Senator Keough', 'Representative Bell']",Signed,"APPROPRIATIONS - Appropriates and transfers $8,000,000 from the General Fund to the Legislative Legal Defense Fund in fiscal year 2016.",,,,,,,,,,,,,,,https://legislature.idaho.gov/sessioninfo/2016/legislation/S1428/,
S1429,,LAW,Signed by Governor on 03/31/16; Session Law Chapter 323; Effective: 07/01/2016,2016-03-24,2016-03-24,,"['Senator Mortimer', 'Representative Malek']",Signed,"APPROPRIATIONS - EDUCATIONAL EFFORT - Appropriates a total of $9,979,000 to the Idaho Commission for Libraries, Community Colleges, the Superintendent of Public Instruction, the Office of the State Board of Education, and the STEM Action Center for fiscal year 2017; and authorizes one additional full-time equivalent position.",,,,,,,,,,,,,,,https://legislature.idaho.gov/sessioninfo/2016/legislation/S1429/,
S1430,,LAW,Signed by Governor on 03/31/16; Session Law Chapter 338; Effective: 07/01/2016,2016-03-24,2016-03-24,,"['Senator Mortimer', 'Representative Youngblood']",Signed,"APPROPRIATIONS - PUBLIC SCHOOLS - Appropriates and transfers $750,000 from the Economic Recovery Reserve Fund to the Charter School Debt Reserve Fund for fiscal year 2017.",,,,,,,,,,,,,,,https://legislature.idaho.gov/sessioninfo/2016/legislation/S1430/,
SCR132,,ADOPTED,02/23; Reported delivered to the Secretary of State on 02/22/16,2016-02-16,2016-02-05,['Senator Abby Lee'],"['Senator Martin', 'Representative McDonald']",,PEACE OFFICERS - Stating findings of the Legislature and recognizing Idaho peace officers for their service to the state.,,,,,,,,,,,,,,,https://legislature.idaho.gov/sessioninfo/2016/legislation/SCR132/,
SCR133,,ADOPTED,02/22; Reported delivered to the Secretary of State on 02/19/16,2016-02-15,2016-02-02,"['Representative John Gannon', 'Representative Hy Kloc', 'Representative Ilana Rubel', 'Representative Elaine Smith', 'Representative Melissa Wintrow', 'Representative Sue Chew', 'Senator Grant Burgoyne', 'Senator Roy Lacey', 'Senator Janie Ward']","['Senator Buckner-Webb', 'Representative Erpelding']",,"BLACK HISTORY MONTH - Stating findings of the Legislature and recognizing February as Black History Month, and recognizing the contributions of Black citizens to the state and nation.",,,,,,,,,,,,,,,https://legislature.idaho.gov/sessioninfo/2016/legislation/SCR133/,
SCR134,,ADOPTED,03/22; Reported delivered to the Secretary of State on 03/21/16,2016-03-16,2016-02-04,,"['Senator Mortimer', 'Representative DeMordaunt']",,EDUCATION - Stating findings of the Legislature and supporting the State Board of Education’s goal that 60% of Idaho citizens ages 25-34 earn a postsecondary degree or certificate by 2020 to meet the state’s workforce needs.,,,,,,,,,,,,,,,https://legislature.idaho.gov/sessioninfo/2016/legislation/SCR134/,
SCR135,,S Res/Env,Recommitted to Resources & Environment,,,,,,"WATER - Stating findings of the Legislature and supporting the settlement agreement entered into on June 30, 2015, between participating members of the Surface Water Coalition and participating members of the Idaho Ground Water Appropriators, Inc.",,,,,,,,,,,,,,,https://legislature.idaho.gov/sessioninfo/2016/legislation/SCR135/,
SCR136,,ADOPTED,Reported delivered to the Secretary of State on 03/23/16,2016-03-17,2016-02-16,"['Senator Steve Bair', 'Senator Michelle Stennett']","['Senator Stennett', 'Representative Raybould', 'Representative Bedke']",,ESPA MANAGED RECHARGE - Stating findings of the Legislature and recognizing the need for managed recharge of the ESPA and resolving that the state establish certain managed recharge goals.,,,,,,,,,,,,,,,https://legislature.idaho.gov/sessioninfo/2016/legislation/SCR136/,
SCR137,,ADOPTED,Reported delivered to the Secretary of State on 03/23/16,2016-03-17,2016-02-16,"['Senator Steve Bair', 'Senator Michelle Stennett']","['Senator Bair', 'Representative Raybould', 'Representative Bedke']",,"AQUIFERS - Stating findings of the Legislature and requesting that the Idaho Water Resource Board address statewide aquifer stabilization and sustainability projects, including managed recharge.",,,,,,,,,,,,,,,https://legislature.idaho.gov/sessioninfo/2016/legislation/SCR137/,
SCR138,,ADOPTED,Reported delivered to the Secretary of State on 03/23/16,2016-03-17,2016-02-16,"['Senator Steve Bair', 'Senator Michelle Stennett']","['Senator Bair', 'Representative Raybould']",,"WATER - Stating findings of the Legislature and supporting the settlement agreement entered into on June 30, 2015, between participating members of the Surface Water Coalition and participating members of the Idaho Ground Water Appropriators, Inc.",,,,,,,,,,,,,,,https://legislature.idaho.gov/sessioninfo/2016/legislation/SCR138/,
SCR139,,ADOPTED,Reported delivered to the Secretary of State on 03/24/16,2016-03-22,2016-02-17,,"['Senator Thayn', 'Representative Kloc']",,EDUCATION - RULE REJECTION - Stating findings of the Legislature and rejecting a certain rule docket of the State Board of and State Department of Education relating to Rules Governing Thoroughness.,,,,,,,,,,,,,,,https://legislature.idaho.gov/sessioninfo/2016/legislation/SCR139/,
SCR140,,ADOPTED,Reported delivered to the Secretary of State on 03/24/16,2016-03-22,2016-02-17,,"['Senator Thayn', 'Representative VanOrden']",,EDUCATION - RULE REJECTION - Stating findings of the Legislature and rejecting a certain rule docket of the State Board of and State Department of Education relating to Rules Governing Thoroughness.,,,,,,,,,,,,,,,https://legislature.idaho.gov/sessioninfo/2016/legislation/SCR140/,
SCR141,,ADOPTED,Reported delivered to the Secretary of State on 03/24/16,2016-03-22,2016-02-17,,"['Senator Thayn', 'Representative Pence']",,EDUCATION - RULE REJECTION - Stating findings of the Legislature and rejecting a certain rule docket of the State Board of and State Department of Education relating to Rules Governing Thoroughness.,,,,,,,,,,,,,,,https://legislature.idaho.gov/sessioninfo/2016/legislation/SCR141/,
SCR142,,S Jud,03/03; Referred to Judiciary & Rules,,,"['Representative John Rusche', 'Senator Michelle Stennett']",,,JOINT RULE 18 - Stating findings of the Legislature and providing for the amendment of Joint Rule 18 of the Joint Rules of the Senate and the House of Representatives of the State of Idaho to revise provisions relating to statements of purpose and fiscal notes.,,,,,,,,,,,,,,,https://legislature.idaho.gov/sessioninfo/2016/legislation/SCR142/,
