term,name,district,party,counties,image_link,senator_link,speaker
2010 - 2012,"Metz, Larry",25,Republican,"Parts of Lake, Seminole, Volusia",https://www.myfloridahouse.gov/FileStores/Web/Imaging/Member/4498.jpg,https://www.myfloridahouse.gov/Sections/Representatives/details.aspx?MemberId=4498&LegislativeTermId=84,Speaker Cannon
2010 - 2012,"Moraitis, Jr., George R.",91,Republican,"Parts of Broward, Palm Beach",https://www.myfloridahouse.gov/FileStores/Web/Imaging/Member/4520.jpg,https://www.myfloridahouse.gov/Sections/Representatives/details.aspx?MemberId=4520&LegislativeTermId=84,Speaker Cannon
2010 - 2012,"Nehr, Peter",48,Republican,"Parts of Pasco, Pinellas",https://www.myfloridahouse.gov/FileStores/Web/Imaging/Member/4389.jpg,https://www.myfloridahouse.gov/Sections/Representatives/details.aspx?MemberId=4389&LegislativeTermId=84,Speaker Cannon
2010 - 2012,"Nelson, Bryan",38,Republican,Part of Orange,https://www.myfloridahouse.gov/FileStores/Web/Imaging/Member/4362.jpg,https://www.myfloridahouse.gov/Sections/Representatives/details.aspx?MemberId=4362&LegislativeTermId=84,Speaker Cannon
2010 - 2012,"Nuñez, Jeanette M.",112,Republican,"Parts of Broward, Collier, Miami-Dade",https://www.myfloridahouse.gov/FileStores/Web/Imaging/Member/4524.jpg,https://www.myfloridahouse.gov/Sections/Representatives/details.aspx?MemberId=4524&LegislativeTermId=84,Speaker Cannon
2010 - 2012,"Oliva, Jose R.",110,Republican,Part of Miami-Dade,https://www.myfloridahouse.gov/FileStores/Web/Imaging/Member/4534.jpg,https://www.myfloridahouse.gov/Sections/Representatives/details.aspx?MemberId=4534&LegislativeTermId=84,Speaker Cannon
2010 - 2012,"O'Toole, H. Marlene",42,Republican,"Parts of Lake, Marion, Sumter",https://www.myfloridahouse.gov/FileStores/Web/Imaging/Member/4462.jpg,https://www.myfloridahouse.gov/Sections/Representatives/details.aspx?MemberId=4462&LegislativeTermId=84,Speaker Cannon
2010 - 2012,"Pafford, Mark S.",88,Democrat,Part of Palm Beach,https://www.myfloridahouse.gov/FileStores/Web/Imaging/Member/4435.jpg,https://www.myfloridahouse.gov/Sections/Representatives/details.aspx?MemberId=4435&LegislativeTermId=84,Speaker Cannon
2010 - 2012,"Passidomo, Kathleen C.",76,Republican,Part of Collier,https://www.myfloridahouse.gov/FileStores/Web/Imaging/Member/4514.jpg,https://www.myfloridahouse.gov/Sections/Representatives/details.aspx?MemberId=4514&LegislativeTermId=84,Speaker Cannon
2010 - 2012,"Patronis, Jimmy",6,Republican,"Gulf and parts of Bay, Franklin",https://www.myfloridahouse.gov/FileStores/Web/Imaging/Member/4369.jpg,https://www.myfloridahouse.gov/Sections/Representatives/details.aspx?MemberId=4369&LegislativeTermId=84,Speaker Cannon
2010 - 2012,"Perman, Steven M. ""Steve""",78,Democrat,"Parts of Broward, Martin, Okeechobee, Palm Beach, St. Lucie",https://www.myfloridahouse.gov/FileStores/Web/Imaging/Member/4515.jpg,https://www.myfloridahouse.gov/Sections/Representatives/details.aspx?MemberId=4515&LegislativeTermId=84,Speaker Cannon
2010 - 2012,"Perry, W. Keith",22,Republican,"Parts of Alachua, Levy, Marion",https://www.myfloridahouse.gov/FileStores/Web/Imaging/Member/4497.jpg,https://www.myfloridahouse.gov/Sections/Representatives/details.aspx?MemberId=4497&LegislativeTermId=84,Speaker Cannon
2010 - 2012,"Pilon, Ray",69,Republican,"Parts of Manatee, Sarasota",https://www.myfloridahouse.gov/FileStores/Web/Imaging/Member/4512.jpg,https://www.myfloridahouse.gov/Sections/Representatives/details.aspx?MemberId=4512&LegislativeTermId=84,Speaker Cannon
2010 - 2012,"Plakon, Scott",37,Republican,Part of Pasco,https://www.myfloridahouse.gov/FileStores/Web/Imaging/Member/4430.jpg,https://www.myfloridahouse.gov/Sections/Representatives/details.aspx?MemberId=4430&LegislativeTermId=84,Speaker Cannon
2010 - 2012,"Porter, Elizabeth W.",11,Republican,"Gilchrist, Lafayette, Suwannee and parts of Alachua, Columbia, Dixie",https://www.myfloridahouse.gov/FileStores/Web/Imaging/Member/4494.jpg,https://www.myfloridahouse.gov/Sections/Representatives/details.aspx?MemberId=4494&LegislativeTermId=84,Speaker Cannon
2010 - 2012,"Porth, Ari Abraham",96,Democrat,Part of Broward,https://www.myfloridahouse.gov/FileStores/Web/Imaging/Member/4352.jpg,https://www.myfloridahouse.gov/Sections/Representatives/details.aspx?MemberId=4352&LegislativeTermId=84,Speaker Cannon
2010 - 2012,"Precourt, Stephen L. ""Steve""",41,Republican,"Parts of Lake, Orange, Osceola",https://www.myfloridahouse.gov/FileStores/Web/Imaging/Member/4384.jpg,https://www.myfloridahouse.gov/Sections/Representatives/details.aspx?MemberId=4384&LegislativeTermId=84,Speaker Cannon
2010 - 2012,"Proctor, William L. ""Bill""",20,Republican,"Parts of Clay, Flagler, St. Johns",https://www.myfloridahouse.gov/FileStores/Web/Imaging/Member/4353.jpg,https://www.myfloridahouse.gov/Sections/Representatives/details.aspx?MemberId=4353&LegislativeTermId=84,Speaker Cannon
2010 - 2012,"Randolph, Scott",36,Democrat,Part of Orange,https://www.myfloridahouse.gov/FileStores/Web/Imaging/Member/4378.jpg,https://www.myfloridahouse.gov/Sections/Representatives/details.aspx?MemberId=4378&LegislativeTermId=84,Speaker Cannon
2010 - 2012,"Ray, Lake",17,Republican,Part of Duval,https://www.myfloridahouse.gov/FileStores/Web/Imaging/Member/4441.jpg,https://www.myfloridahouse.gov/Sections/Representatives/details.aspx?MemberId=4441&LegislativeTermId=84,Speaker Cannon
2010 - 2012,"Reed, Betty",59,Democrat,Part of Hillsborough,https://www.myfloridahouse.gov/FileStores/Web/Imaging/Member/4398.jpg,https://www.myfloridahouse.gov/Sections/Representatives/details.aspx?MemberId=4398&LegislativeTermId=84,Speaker Cannon
2010 - 2012,"Rehwinkel Vasilinda, Michelle",9,No Party Affiliation,"Parts of Gadsden, Jefferson, Leon",https://www.myfloridahouse.gov/FileStores/Web/Imaging/Member/4464.jpg,https://www.myfloridahouse.gov/Sections/Representatives/details.aspx?MemberId=4464&LegislativeTermId=84,Speaker Cannon
2010 - 2012,"Renuart, Ronald ""Doc""",18,Republican,"Parts of Duval, St. Johns",https://www.myfloridahouse.gov/FileStores/Web/Imaging/Member/4442.jpg,https://www.myfloridahouse.gov/Sections/Representatives/details.aspx?MemberId=4442&LegislativeTermId=84,Speaker Cannon
2010 - 2012,"Roberson, Kenneth L. ""Ken""",71,Republican,"Parts of Charlotte, Lee, Sarasota",https://www.myfloridahouse.gov/FileStores/Web/Imaging/Member/4454.jpg,https://www.myfloridahouse.gov/Sections/Representatives/details.aspx?MemberId=4454&LegislativeTermId=84,Speaker Cannon
2010 - 2012,"Rogers, Hazelle P. ""Hazel""",94,Democrat,Part of Broward,https://www.myfloridahouse.gov/FileStores/Web/Imaging/Member/4434.jpg,https://www.myfloridahouse.gov/Sections/Representatives/details.aspx?MemberId=4434&LegislativeTermId=84,Speaker Cannon
2010 - 2012,"Rooney, Jr., Patrick Joseph",83,Republican,Part of Palm Beach,https://www.myfloridahouse.gov/FileStores/Web/Imaging/Member/4516.jpg,https://www.myfloridahouse.gov/Sections/Representatives/details.aspx?MemberId=4516&LegislativeTermId=84,Speaker Cannon
2010 - 2012,"Rouson, Darryl Ervin",55,Democrat,"Parts of Hillsborough,  Manatee, Pinellas, Sarasota",https://www.myfloridahouse.gov/FileStores/Web/Imaging/Member/4428.jpg,https://www.myfloridahouse.gov/Sections/Representatives/details.aspx?MemberId=4428&LegislativeTermId=84,Speaker Cannon
2010 - 2012,"Sands, Franklin",98,Democrat,Part of Broward,https://www.myfloridahouse.gov/FileStores/Web/Imaging/Member/4354.jpg,https://www.myfloridahouse.gov/Sections/Representatives/details.aspx?MemberId=4354&LegislativeTermId=84,Speaker Cannon
2010 - 2012,"Saunders, Ron",120,Democrat,Monroe and part of Miami-Dade,https://www.myfloridahouse.gov/FileStores/Web/Imaging/Member/3041.jpg,https://www.myfloridahouse.gov/Sections/Representatives/details.aspx?MemberId=3041&LegislativeTermId=84,Speaker Cannon
2010 - 2012,"Schenck, Robert C. ""Rob""",44,Republican,"Parts of Hernando, Pasco, Sumter",https://www.myfloridahouse.gov/FileStores/Web/Imaging/Member/4386.jpg,https://www.myfloridahouse.gov/Sections/Representatives/details.aspx?MemberId=4386&LegislativeTermId=84,Speaker Cannon
2010 - 2012,"Schwartz, Elaine J.",99,Democrat,Part of Broward,https://www.myfloridahouse.gov/FileStores/Web/Imaging/Member/4383.jpg,https://www.myfloridahouse.gov/Sections/Representatives/details.aspx?MemberId=4383&LegislativeTermId=84,Speaker Cannon
2010 - 2012,"Slosberg, Irving ""Irv""",90,Democrat,"Parts of Broward, Palm Beach",https://www.myfloridahouse.gov/FileStores/Web/Imaging/Member/4232.jpg,https://www.myfloridahouse.gov/Sections/Representatives/details.aspx?MemberId=4232&LegislativeTermId=84,Speaker Cannon
2010 - 2012,"Smith, Jimmie T.",43,Republican,"Citrus and parts of Hernando, Levy",https://www.myfloridahouse.gov/FileStores/Web/Imaging/Member/4502.jpg,https://www.myfloridahouse.gov/Sections/Representatives/details.aspx?MemberId=4502&LegislativeTermId=84,Speaker Cannon
2010 - 2012,"Snyder, William D.",82,Republican,"Parts of Martin, Palm Beach,  St. Lucie",https://www.myfloridahouse.gov/FileStores/Web/Imaging/Member/4376.jpg,https://www.myfloridahouse.gov/Sections/Representatives/details.aspx?MemberId=4376&LegislativeTermId=84,Speaker Cannon
2010 - 2012,"Soto, Darren",49,Democrat,"Part of Orange, Osceola",https://www.myfloridahouse.gov/FileStores/Web/Imaging/Member/4414.jpg,https://www.myfloridahouse.gov/Sections/Representatives/details.aspx?MemberId=4414&LegislativeTermId=84,Speaker Cannon
2010 - 2012,"Stafford, Cynthia A.",109,Democrat,Part of Miami-Dade,https://www.myfloridahouse.gov/FileStores/Web/Imaging/Member/4523.jpg,https://www.myfloridahouse.gov/Sections/Representatives/details.aspx?MemberId=4523&LegislativeTermId=84,Speaker Cannon
2010 - 2012,"Stargel, Kelli",64,Republican,Part of Polk,https://www.myfloridahouse.gov/FileStores/Web/Imaging/Member/4452.jpg,https://www.myfloridahouse.gov/Sections/Representatives/details.aspx?MemberId=4452&LegislativeTermId=84,Speaker Cannon
2010 - 2012,"Steinberg, Richard L.",106,Democrat,Part of Miami-Dade,https://www.myfloridahouse.gov/FileStores/Web/Imaging/Member/4459.jpg,https://www.myfloridahouse.gov/Sections/Representatives/details.aspx?MemberId=4459&LegislativeTermId=84,Speaker Cannon
2010 - 2012,"Steube, W. Gregory ""Greg""",67,Republican,"Parts of Hillsborough, Manatee, Sarasota",https://www.myfloridahouse.gov/FileStores/Web/Imaging/Member/4509.jpg,https://www.myfloridahouse.gov/Sections/Representatives/details.aspx?MemberId=4509&LegislativeTermId=84,Speaker Cannon
2010 - 2012,"Taylor, Dwayne L.",27,Democrat,Part of Volusia,https://www.myfloridahouse.gov/FileStores/Web/Imaging/Member/4445.jpg,https://www.myfloridahouse.gov/Sections/Representatives/details.aspx?MemberId=4445&LegislativeTermId=84,Speaker Cannon
2010 - 2012,"Thompson, Geraldine F. ""Geri""",39,Democrat,Part of Orange,https://www.myfloridahouse.gov/FileStores/Web/Imaging/Member/4380.jpg,https://www.myfloridahouse.gov/Sections/Representatives/details.aspx?MemberId=4380&LegislativeTermId=84,Speaker Cannon
2010 - 2012,"Thurston, Jr., Perry E.",93,Democrat,Part of Broward,https://www.myfloridahouse.gov/FileStores/Web/Imaging/Member/4396.jpg,https://www.myfloridahouse.gov/Sections/Representatives/details.aspx?MemberId=4396&LegislativeTermId=84,Speaker Cannon
2010 - 2012,"Tobia, John",31,Republican,Part of Brevard,https://www.myfloridahouse.gov/FileStores/Web/Imaging/Member/4447.jpg,https://www.myfloridahouse.gov/Sections/Representatives/details.aspx?MemberId=4447&LegislativeTermId=84,Speaker Cannon
2010 - 2012,"Trujillo, Carlos",116,Republican,Part of Miami-Dade,https://www.myfloridahouse.gov/FileStores/Web/Imaging/Member/4527.jpg,https://www.myfloridahouse.gov/Sections/Representatives/details.aspx?MemberId=4527&LegislativeTermId=84,Speaker Cannon
2010 - 2012,"Van Zant, Charles E.",21,Republican,"Putnam and parts of Bradford, Clay, Lake, Marion, Volusia",https://www.myfloridahouse.gov/FileStores/Web/Imaging/Member/4444.jpg,https://www.myfloridahouse.gov/Sections/Representatives/details.aspx?MemberId=4444&LegislativeTermId=84,Speaker Cannon
2010 - 2012,"Waldman, James W. ""Jim""",95,Democrat,Part of Broward,https://www.myfloridahouse.gov/FileStores/Web/Imaging/Member/4367.jpg,https://www.myfloridahouse.gov/Sections/Representatives/details.aspx?MemberId=4367&LegislativeTermId=84,Speaker Cannon
2010 - 2012,"Watson, Barbara",103,Democrat,"Parts of Broward, Miami-Dade",https://www.myfloridahouse.gov/FileStores/Web/Imaging/Member/4532.jpg,https://www.myfloridahouse.gov/Sections/Representatives/details.aspx?MemberId=4532&LegislativeTermId=84,Speaker Cannon
2010 - 2012,"Weatherford, Will",61,Republican,"Parts of Hillsborough, Pasco",https://www.myfloridahouse.gov/FileStores/Web/Imaging/Member/4399.jpg,https://www.myfloridahouse.gov/Sections/Representatives/details.aspx?MemberId=4399&LegislativeTermId=84,Speaker Cannon
2010 - 2012,"Weinstein, Michael B. ""Mike""",19,Republican,"Parts of Clay, Duval, St. Johns",https://www.myfloridahouse.gov/FileStores/Web/Imaging/Member/4443.jpg,https://www.myfloridahouse.gov/Sections/Representatives/details.aspx?MemberId=4443&LegislativeTermId=84,Speaker Cannon
2010 - 2012,"Williams, Alan B.",8,Democrat,"Parts of Gadsden, Leon",https://www.myfloridahouse.gov/FileStores/Web/Imaging/Member/4437.jpg,https://www.myfloridahouse.gov/Sections/Representatives/details.aspx?MemberId=4437&LegislativeTermId=84,Speaker Cannon
2010 - 2012,"Williams, Trudi K.",75,Republican,"Parts of Collier, Lee",https://www.myfloridahouse.gov/FileStores/Web/Imaging/Member/4338.jpg,https://www.myfloridahouse.gov/Sections/Representatives/details.aspx?MemberId=4338&LegislativeTermId=84,Speaker Cannon
2010 - 2012,"Wood, John",65,Republican,Part of Polk,https://www.myfloridahouse.gov/FileStores/Web/Imaging/Member/4453.jpg,https://www.myfloridahouse.gov/Sections/Representatives/details.aspx?MemberId=4453&LegislativeTermId=84,Speaker Cannon
2010 - 2012,"Workman, Ritch",30,Republican,Part of Brevard,https://www.myfloridahouse.gov/FileStores/Web/Imaging/Member/4446.jpg,https://www.myfloridahouse.gov/Sections/Representatives/details.aspx?MemberId=4446&LegislativeTermId=84,Speaker Cannon
2010 - 2012,"Young, Dana D.",57,Republican,Part of Hillsborough,https://www.myfloridahouse.gov/FileStores/Web/Imaging/Member/4507.jpg,https://www.myfloridahouse.gov/Sections/Representatives/details.aspx?MemberId=4507&LegislativeTermId=84,Speaker Cannon
2008 - 2010,"Abruzzo, Joseph",85,Democrat,Part of Palm Beach,https://www.myfloridahouse.gov/FileStores/Web/Imaging/Member/4458.jpg,https://www.myfloridahouse.gov/Sections/Representatives/details.aspx?MemberId=4458&LegislativeTermId=83,Speaker Cretul
2008 - 2010,"Adams, Sandra ""Sandy""",33,Republican,"Parts of Orange, Seminole, Volusia",https://www.myfloridahouse.gov/FileStores/Web/Imaging/Member/4267.jpg,https://www.myfloridahouse.gov/Sections/Representatives/details.aspx?MemberId=4267&LegislativeTermId=83,Speaker Cretul
2008 - 2010,"Adkins, Janet H.",12,Republican,"Baker, Nassau, Union and parts of Bradford, Clay, Duval",https://www.myfloridahouse.gov/FileStores/Web/Imaging/Member/4439.jpg,https://www.myfloridahouse.gov/Sections/Representatives/details.aspx?MemberId=4439&LegislativeTermId=83,Speaker Cretul
2008 - 2010,"Ambler, Kevin C.",47,Republican,Part of Hillsborough,https://www.myfloridahouse.gov/FileStores/Web/Imaging/Member/4272.jpg,https://www.myfloridahouse.gov/Sections/Representatives/details.aspx?MemberId=4272&LegislativeTermId=83,Speaker Cretul
2008 - 2010,"Anderson, Thomas ""Tom""",45,Republican,"Parts of Pasco, Pinellas",https://www.myfloridahouse.gov/FileStores/Web/Imaging/Member/4271.jpg,https://www.myfloridahouse.gov/Sections/Representatives/details.aspx?MemberId=4271&LegislativeTermId=83,Speaker Cretul
2008 - 2010,"Aubuchon, Gary",74,Republican,"Parts of Charlotte, Lee",https://www.myfloridahouse.gov/FileStores/Web/Imaging/Member/4363.jpg,https://www.myfloridahouse.gov/Sections/Representatives/details.aspx?MemberId=4363&LegislativeTermId=83,Speaker Cretul
2008 - 2010,"Bembry, Leonard L.",10,Democrat,"Hamilton, Madison, Taylor and parts of Alachua, Columbia, Dixie, Franklin, Jefferson, Levy, Wakulla",https://www.myfloridahouse.gov/FileStores/Web/Imaging/Member/4438.jpg,https://www.myfloridahouse.gov/Sections/Representatives/details.aspx?MemberId=4438&LegislativeTermId=83,Speaker Cretul
2008 - 2010,"Bernard, Mack",84,Democrat,Part of Palm Beach,https://www.myfloridahouse.gov/FileStores/Web/Imaging/Member/4422.jpg,https://www.myfloridahouse.gov/Sections/Representatives/details.aspx?MemberId=4422&LegislativeTermId=83,Speaker Cretul
2008 - 2010,"Bogdanoff, Ellyn Setnor",91,Republican,"Parts of Broward, Palm Beach",https://www.myfloridahouse.gov/FileStores/Web/Imaging/Member/4336.jpg,https://www.myfloridahouse.gov/Sections/Representatives/details.aspx?MemberId=4336&LegislativeTermId=83,Speaker Cretul
2008 - 2010,"Bovo, Jr., Esteban L.",110,Republican,Part of Miami-Dade,https://www.myfloridahouse.gov/FileStores/Web/Imaging/Member/4460.jpg,https://www.myfloridahouse.gov/Sections/Representatives/details.aspx?MemberId=4460&LegislativeTermId=83,Speaker Cretul
2008 - 2010,"Boyd, Debbie",11,Democrat,"Gilchrist, Lafayette, Suwannee and parts of Alachua, Columbia, Dixie",https://www.myfloridahouse.gov/FileStores/Web/Imaging/Member/4371.jpg,https://www.myfloridahouse.gov/Sections/Representatives/details.aspx?MemberId=4371&LegislativeTermId=83,Speaker Cretul
2008 - 2010,"Brandenburg, Mary",89,Democrat,Part of Palm Beach,https://www.myfloridahouse.gov/FileStores/Web/Imaging/Member/4281.jpg,https://www.myfloridahouse.gov/Sections/Representatives/details.aspx?MemberId=4281&LegislativeTermId=83,Speaker Cretul
2008 - 2010,"Braynon II, Oscar",103,Democrat,"Parts of Broward, Miami-Dade",https://www.myfloridahouse.gov/FileStores/Web/Imaging/Member/4427.jpg,https://www.myfloridahouse.gov/Sections/Representatives/details.aspx?MemberId=4427&LegislativeTermId=83,Speaker Cretul
2008 - 2010,"Brisé, Ronald A.",108,Democrat,Part of Miami-Dade,https://www.myfloridahouse.gov/FileStores/Web/Imaging/Member/4388.jpg,https://www.myfloridahouse.gov/Sections/Representatives/details.aspx?MemberId=4388&LegislativeTermId=83,Speaker Cretul
2008 - 2010,"Bullard, Dwight M.",118,Democrat,Part of Miami-Dade,https://www.myfloridahouse.gov/FileStores/Web/Imaging/Member/4429.jpg,https://www.myfloridahouse.gov/Sections/Representatives/details.aspx?MemberId=4429&LegislativeTermId=83,Speaker Cretul
2008 - 2010,"Burgin, Rachel V.",56,Republican,Part of Hillsborough,https://www.myfloridahouse.gov/FileStores/Web/Imaging/Member/4451.jpg,https://www.myfloridahouse.gov/Sections/Representatives/details.aspx?MemberId=4451&LegislativeTermId=83,Speaker Cretul
2008 - 2010,"Bush  III, Dr. James",109,Democrat,Part of Miami-Dade,https://www.myfloridahouse.gov/FileStores/Web/Imaging/Member/4011.jpg,https://www.myfloridahouse.gov/Sections/Representatives/details.aspx?MemberId=4011&LegislativeTermId=83,Speaker Cretul
2008 - 2010,"Cannon, Dean",35,Republican,Part of Orange,https://www.myfloridahouse.gov/FileStores/Web/Imaging/Member/4340.jpg,https://www.myfloridahouse.gov/Sections/Representatives/details.aspx?MemberId=4340&LegislativeTermId=83,Speaker Cretul
2008 - 2010,"Carroll, Jennifer",13,Republican,"Parts of Clay, Duval",https://www.myfloridahouse.gov/FileStores/Web/Imaging/Member/4331.jpg,https://www.myfloridahouse.gov/Sections/Representatives/details.aspx?MemberId=4331&LegislativeTermId=83,Speaker Cretul
2008 - 2010,"Chestnut IV, Charles S. ""Chuck""",23,Democrat,"Parts of Alachua, Marion",https://www.myfloridahouse.gov/FileStores/Web/Imaging/Member/4374.jpg,https://www.myfloridahouse.gov/Sections/Representatives/details.aspx?MemberId=4374&LegislativeTermId=83,Speaker Cretul
2008 - 2010,"Clarke-Reed, Gwyndolen ""Gwyn""",92,Democrat,Part of Broward,https://www.myfloridahouse.gov/FileStores/Web/Imaging/Member/4432.jpg,https://www.myfloridahouse.gov/Sections/Representatives/details.aspx?MemberId=4432&LegislativeTermId=83,Speaker Cretul
2008 - 2010,"Coley, Marti",7,Republican,"Calhoun, Liberty and parts of Bay, Gadsden, Jackson, Leon, Okaloosa, Wakulla, Walton",https://www.myfloridahouse.gov/FileStores/Web/Imaging/Member/4361.jpg,https://www.myfloridahouse.gov/Sections/Representatives/details.aspx?MemberId=4361&LegislativeTermId=83,Speaker Cretul
2008 - 2010,"Cretul, Larry",22,Republican,"Parts of Alachua, Levy, Marion",https://www.myfloridahouse.gov/FileStores/Web/Imaging/Member/4264.jpg,https://www.myfloridahouse.gov/Sections/Representatives/details.aspx?MemberId=4264&LegislativeTermId=83,Speaker Cretul
2008 - 2010,"Crisafulli, Steve",32,Republican,"Parts of Brevard, Orange",https://www.myfloridahouse.gov/FileStores/Web/Imaging/Member/4448.jpg,https://www.myfloridahouse.gov/Sections/Representatives/details.aspx?MemberId=4448&LegislativeTermId=83,Speaker Cretul
2008 - 2010,"Cruz, Janet",58,Democrat,Part of Hillsborough,https://www.myfloridahouse.gov/FileStores/Web/Imaging/Member/4477.jpg,https://www.myfloridahouse.gov/Sections/Representatives/details.aspx?MemberId=4477&LegislativeTermId=83,Speaker Cretul
2008 - 2010,"Culp, Faye B.",57,Republican,Part of Hillsborough,https://www.myfloridahouse.gov/FileStores/Web/Imaging/Member/4274.jpg,https://www.myfloridahouse.gov/Sections/Representatives/details.aspx?MemberId=4274&LegislativeTermId=83,Speaker Cretul
2008 - 2010,"Domino, Carl J.",83,Republican,Part of Palm Beach,https://www.myfloridahouse.gov/FileStores/Web/Imaging/Member/4289.jpg,https://www.myfloridahouse.gov/Sections/Representatives/details.aspx?MemberId=4289&LegislativeTermId=83,Speaker Cretul
2008 - 2010,"Dorworth, Chris",34,Republican,"Parts of Orange, Seminole",https://www.myfloridahouse.gov/FileStores/Web/Imaging/Member/4419.jpg,https://www.myfloridahouse.gov/Sections/Representatives/details.aspx?MemberId=4419&LegislativeTermId=83,Speaker Cretul
2008 - 2010,"Drake, Brad",5,Republican,"Holmes, Washington and parts of Jackson, Okaloosa, Walton",https://www.myfloridahouse.gov/FileStores/Web/Imaging/Member/4436.jpg,https://www.myfloridahouse.gov/Sections/Representatives/details.aspx?MemberId=4436&LegislativeTermId=83,Speaker Cretul
2008 - 2010,"Eisnaugle, Eric",40,Republican,Part of Orange,https://www.myfloridahouse.gov/FileStores/Web/Imaging/Member/4449.jpg,https://www.myfloridahouse.gov/Sections/Representatives/details.aspx?MemberId=4449&LegislativeTermId=83,Speaker Cretul
2008 - 2010,"* Evers, Greg",1,Republican,"Parts of Escambia, Okaloosa, Santa Rosa",https://www.myfloridahouse.gov/FileStores/Web/Imaging/Member/4247.jpg,https://www.myfloridahouse.gov/Sections/Representatives/details.aspx?MemberId=4247&LegislativeTermId=83,Speaker Cretul
2008 - 2010,"Fetterman, Adam M.",81,Democrat,"Parts of Martin, St. Lucie",https://www.myfloridahouse.gov/FileStores/Web/Imaging/Member/4457.jpg,https://www.myfloridahouse.gov/Sections/Representatives/details.aspx?MemberId=4457&LegislativeTermId=83,Speaker Cretul
2008 - 2010,"Fitzgerald, Keith",69,Democrat,"Parts of Manatee, Sarasota",https://www.myfloridahouse.gov/FileStores/Web/Imaging/Member/4370.jpg,https://www.myfloridahouse.gov/Sections/Representatives/details.aspx?MemberId=4370&LegislativeTermId=83,Speaker Cretul
2008 - 2010,"Flores, Anitere",114,Republican,Part of Miami-Dade,https://www.myfloridahouse.gov/FileStores/Web/Imaging/Member/4342.jpg,https://www.myfloridahouse.gov/Sections/Representatives/details.aspx?MemberId=4342&LegislativeTermId=83,Speaker Cretul
2008 - 2010,"* Ford, Clay",3,Republican,"Parts of Escambia, Santa Rosa",https://www.myfloridahouse.gov/FileStores/Web/Imaging/Member/4409.jpg,https://www.myfloridahouse.gov/Sections/Representatives/details.aspx?MemberId=4409&LegislativeTermId=83,Speaker Cretul
2008 - 2010,"Fresen, Erik",111,Republican,Part of Miami-Dade,https://www.myfloridahouse.gov/FileStores/Web/Imaging/Member/4461.jpg,https://www.myfloridahouse.gov/Sections/Representatives/details.aspx?MemberId=4461&LegislativeTermId=83,Speaker Cretul
2008 - 2010,"Frishe, James C. ""Jim""",54,Republican,Part of Pinellas,https://www.myfloridahouse.gov/FileStores/Web/Imaging/Member/4395.jpg,https://www.myfloridahouse.gov/Sections/Representatives/details.aspx?MemberId=4395&LegislativeTermId=83,Speaker Cretul
2008 - 2010,"Gaetz, Matt",4,Republican,"Parts of Okaloosa, Santa Rosa",https://www.myfloridahouse.gov/FileStores/Web/Imaging/Member/4478.jpg,https://www.myfloridahouse.gov/Sections/Representatives/details.aspx?MemberId=4478&LegislativeTermId=83,Speaker Cretul
2008 - 2010,"Galvano, Bill",68,Republican,"Parts of Hillsborough, Manatee",https://www.myfloridahouse.gov/FileStores/Web/Imaging/Member/4278.jpg,https://www.myfloridahouse.gov/Sections/Representatives/details.aspx?MemberId=4278&LegislativeTermId=83,Speaker Cretul
2008 - 2010,"Garcia, Jr., Luis R.",107,Democrat,Part of Miami-Dade,https://www.myfloridahouse.gov/FileStores/Web/Imaging/Member/4387.jpg,https://www.myfloridahouse.gov/Sections/Representatives/details.aspx?MemberId=4387&LegislativeTermId=83,Speaker Cretul
2008 - 2010,"Gibbons, Joseph A. ""Joe""",105,Democrat,Part of Broward,https://www.myfloridahouse.gov/FileStores/Web/Imaging/Member/4400.jpg,https://www.myfloridahouse.gov/Sections/Representatives/details.aspx?MemberId=4400&LegislativeTermId=83,Speaker Cretul
2008 - 2010,"Gibson, Audrey",15,Democrat,Part of Duval,https://www.myfloridahouse.gov/FileStores/Web/Imaging/Member/4263.jpg,https://www.myfloridahouse.gov/Sections/Representatives/details.aspx?MemberId=4263&LegislativeTermId=83,Speaker Cretul
2008 - 2010,"Glorioso, Richard ""Rich""",62,Republican,"Parts of Hillsborough, Pasco",https://www.myfloridahouse.gov/FileStores/Web/Imaging/Member/4343.jpg,https://www.myfloridahouse.gov/Sections/Representatives/details.aspx?MemberId=4343&LegislativeTermId=83,Speaker Cretul
2008 - 2010,"Gonzalez, Eduardo ""Eddy""",102,Republican,"Parts of Broward, Miami-Dade",https://www.myfloridahouse.gov/FileStores/Web/Imaging/Member/4385.jpg,https://www.myfloridahouse.gov/Sections/Representatives/details.aspx?MemberId=4385&LegislativeTermId=83,Speaker Cretul
2008 - 2010,"Grady, Tom",76,Republican,Part of Collier,https://www.myfloridahouse.gov/FileStores/Web/Imaging/Member/4433.jpg,https://www.myfloridahouse.gov/Sections/Representatives/details.aspx?MemberId=4433&LegislativeTermId=83,Speaker Cretul
2008 - 2010,"Grimsley, Denise",77,Republican,"Glades, Hendry and parts of Collier, Highlands",https://www.myfloridahouse.gov/FileStores/Web/Imaging/Member/4345.jpg,https://www.myfloridahouse.gov/Sections/Representatives/details.aspx?MemberId=4345&LegislativeTermId=83,Speaker Cretul
