term,name,district,party,counties,image_link,senator_link,position,resigned,died_in_office,elected
2020-2022,"Torres, Victor M. , Jr.",15,Democrat,Consists of Osceola county and part of Orange county,https://www.flsenate.gov/PublishedContent/Senators/2020-2022/Photos/S15_5206_Thumbnail.jpg,https://www.flsenate.gov/Senators/2020-2022/S15,,,,
2020-2022,"Wright, Tom A.",14,Republican,"Consists of parts of Brevard, Volusia counties",https://www.flsenate.gov/PublishedContent/Senators/2020-2022/Photos/S14_5346_Thumbnail.jpg,https://www.flsenate.gov/Senators/2020-2022/S14,,,,
2018-2020,"Albritton, Ben",26,Republican,"Consisted of DeSoto, Glades, Hardee, Highlands, Okeechobee counties and parts of Charlotte, Lee, Polk counties",https://www.flsenate.gov/PublishedContent/Senators/2018-2020/Photos/S26_5342_Thumbnail.jpg,https://www.flsenate.gov/Senators/2018-2020/S26/5342,,,,
2018-2020,"Baxley, Dennis",12,Republican,"Consisted of Sumter county and parts of Lake, Marion counties",https://www.flsenate.gov/PublishedContent/Senators/2018-2020/Photos/S12_5192_Thumbnail.jpg,https://www.flsenate.gov/Senators/2018-2020/S12/5192,,,,
2018-2020,"Bean, Aaron",4,Republican,Consisted of Nassau county and part of Duval county,https://www.flsenate.gov/PublishedContent/Senators/2018-2020/Photos/S04_5094_Thumbnail.jpg,https://www.flsenate.gov/Senators/2018-2020/S4/5094,,,,
2018-2020,"Benacquisto, Lizbeth",27,Republican,Consisted of part of Lee county,https://www.flsenate.gov/PublishedContent/Senators/2018-2020/Photos/S27_5047_Thumbnail.jpg,https://www.flsenate.gov/Senators/2018-2020/S27/5047,,,,
2018-2020,"Berman, Lori",31,Democrat,Consisted of part of Palm Beach county,https://www.flsenate.gov/PublishedContent/Senators/2018-2020/Photos/S31_5339_Thumbnail.jpg,https://www.flsenate.gov/Senators/2018-2020/S31/5339,,,,
2018-2020,"Book, Lauren",32,Democrat,Consisted of part of Broward county,https://www.flsenate.gov/PublishedContent/Senators/2018-2020/Photos/S32_5189_Thumbnail.jpg,https://www.flsenate.gov/Senators/2018-2020/S32/5189,,,,
2018-2020,"Bracy, Randolph",11,Democrat,Consisted of part of Orange county,https://www.flsenate.gov/PublishedContent/Senators/2018-2020/Photos/S11_5193_Thumbnail.jpg,https://www.flsenate.gov/Senators/2018-2020/S11/5193,,,,
2018-2020,"Bradley, Rob",5,Republican,"Consisted of Baker, Bradford, Clay, Columbia, Dixie, Gilchrist, Lafayette, Levy, Suwannee, Union counties and part of Marion county",https://www.flsenate.gov/PublishedContent/Senators/2018-2020/Photos/S05_5101_Thumbnail.jpg,https://www.flsenate.gov/Senators/2018-2020/S5/5101,,,,
2018-2020,"Brandes, Jeff",24,Republican,Consisted of part of Pinellas county,https://www.flsenate.gov/PublishedContent/Senators/2018-2020/Photos/S24_5095_Thumbnail.jpg,https://www.flsenate.gov/Senators/2018-2020/S24/5095,,,,
2018-2020,"Braynon II, Oscar",35,Democrat,"Consisted of parts of Broward, Miami-Dade counties",https://www.flsenate.gov/PublishedContent/Senators/2018-2020/Photos/S35_5007_Thumbnail.jpg,https://www.flsenate.gov/Senators/2018-2020/S35/5007,,,,
2018-2020,"Broxson, Doug",1,Republican,"Consisted of Escambia, Santa Rosa counties and part of Okaloosa county",https://www.flsenate.gov/PublishedContent/Senators/2018-2020/Photos/S01_5194_Thumbnail.jpg,https://www.flsenate.gov/Senators/2018-2020/S1/5194,,,,
2018-2020,"Cruz, Janet",18,Democrat,Consisted of part of Hillsborough county,https://www.flsenate.gov/PublishedContent/Senators/2018-2020/Photos/S18_5467_Thumbnail.jpg,https://www.flsenate.gov/Senators/2018-2020/S18/5467,,,,
2018-2020,"Diaz, Manny , Jr.",36,Republican,Consisted of part of Miami-Dade county,https://www.flsenate.gov/PublishedContent/Senators/2018-2020/Photos/S36_5343_Thumbnail.jpg,https://www.flsenate.gov/Senators/2018-2020/S36/5343,,,,
2018-2020,"Farmer, Gary M. , Jr.",34,Democrat,Consisted of part of Broward county,https://www.flsenate.gov/PublishedContent/Senators/2018-2020/Photos/S34_5198_Thumbnail.jpg,https://www.flsenate.gov/Senators/2018-2020/S34/5198,,,,
2018-2020,"Flores, Anitere",39,Republican,Consisted of Monroe county and part of Miami-Dade county,https://www.flsenate.gov/PublishedContent/Senators/2018-2020/Photos/S39_4783_Thumbnail.jpg,https://www.flsenate.gov/Senators/2018-2020/S39/4783,,,,
2018-2020,"Gainer, George B.",2,Republican,"Consisted of Bay, Holmes, Jackson, Walton, Washington counties and part of Okaloosa county",https://www.flsenate.gov/PublishedContent/Senators/2018-2020/Photos/S02_5190_Thumbnail.jpg,https://www.flsenate.gov/Senators/2018-2020/S2/5190,,,,
2018-2020,"Galvano, Bill ",21,Republican,Consisted of Manatee county and part of Hillsborough county,https://www.flsenate.gov/PublishedContent/Senators/2018-2020/Photos/S21_5098_Thumbnail.jpg,https://www.flsenate.gov/Senators/2018-2020/S21/5098,President,,,
2018-2020,"Gibson, Audrey ",6,Democrat,Consisted of part of Duval county,https://www.flsenate.gov/PublishedContent/Senators/2018-2020/Photos/S06_4765_Thumbnail.jpg,https://www.flsenate.gov/Senators/2018-2020/S6/4765,Minority (Democratic) Leader,,,
2018-2020,"Gruters, Joe",23,Republican,Consisted of Sarasota county and part of Charlotte county,https://www.flsenate.gov/PublishedContent/Senators/2018-2020/Photos/S23_5347_Thumbnail.jpg,https://www.flsenate.gov/Senators/2018-2020/S23/5347,,,,
2018-2020,"Harrell, Gayle",25,Republican,"Consisted of Martin, St. Lucie counties and part of Palm Beach county",https://www.flsenate.gov/PublishedContent/Senators/2018-2020/Photos/S25_5348_Thumbnail.jpg,https://www.flsenate.gov/Senators/2018-2020/S25/5348,,,,
2018-2020,"Hooper, Ed",16,Republican,"Consisted of parts of Pasco, Pinellas counties",https://www.flsenate.gov/PublishedContent/Senators/2018-2020/Photos/S16_5344_Thumbnail.jpg,https://www.flsenate.gov/Senators/2018-2020/S16/5344,,,,
2018-2020,"Hutson, Travis",7,Republican,"Consisted of Flagler, St. Johns counties and part of Volusia county",https://www.flsenate.gov/PublishedContent/Senators/2018-2020/Photos/S07_5186_Thumbnail.jpg,https://www.flsenate.gov/Senators/2018-2020/S7/5186,,,,
2018-2020,"Lee, Tom ",20,Republican,"Consisted of parts of Hillsborough, Pasco, Polk counties",https://www.flsenate.gov/PublishedContent/Senators/2018-2020/Photos/S20_5100_Thumbnail.jpg,https://www.flsenate.gov/Senators/2018-2020/S20/5100,, 11/3/2020,,
2018-2020,"Mayfield, Debbie",17,Republican,Consisted of Indian River county and part of Brevard county,https://www.flsenate.gov/PublishedContent/Senators/2018-2020/Photos/S17_5199_Thumbnail.jpg,https://www.flsenate.gov/Senators/2018-2020/S17/5199,,,,
2018-2020,"Montford, Bill",3,Democrat,"Consisted of Calhoun, Franklin, Gadsden, Gulf, Hamilton, Jefferson, Leon, Liberty, Madison, Taylor, Wakulla counties",https://www.flsenate.gov/PublishedContent/Senators/2018-2020/Photos/S03_5045_Thumbnail.jpg,https://www.flsenate.gov/Senators/2018-2020/S3/5045,,,,
2018-2020,"Passidomo, Kathleen ",28,Republican,"Consisted of Collier, Hendry counties and part of Lee county",https://www.flsenate.gov/PublishedContent/Senators/2018-2020/Photos/S28_5196_Thumbnail.jpg,https://www.flsenate.gov/Senators/2018-2020/S28/5196,Majority (Republican) Leader,,,
2018-2020,"Perry, Keith",8,Republican,"Consisted of Alachua, Putnam counties and part of Marion county",https://www.flsenate.gov/PublishedContent/Senators/2018-2020/Photos/S08_5200_Thumbnail.jpg,https://www.flsenate.gov/Senators/2018-2020/S8/5200,,,,
2018-2020,"Pizzo, Jason W. B.",38,Democrat,Consisted of part of Miami-Dade county,https://www.flsenate.gov/PublishedContent/Senators/2018-2020/Photos/S38_5345_Thumbnail.jpg,https://www.flsenate.gov/Senators/2018-2020/S38/5345,,,,
2018-2020,"Powell, Bobby",30,Democrat,Consisted of part of Palm Beach county,https://www.flsenate.gov/PublishedContent/Senators/2018-2020/Photos/S30_5201_Thumbnail.jpg,https://www.flsenate.gov/Senators/2018-2020/S30/5201,,,,
2018-2020,"Rader, Kevin J.",29,Democrat,"Consisted of parts of Broward, Palm Beach counties",https://www.flsenate.gov/PublishedContent/Senators/2018-2020/Photos/S29_5032_Thumbnail.jpg,https://www.flsenate.gov/Senators/2018-2020/S29/5032,,,,
2018-2020,"Rodriguez, Jose Javier",37,Democrat,Consisted of part of Miami-Dade county,https://www.flsenate.gov/PublishedContent/Senators/2018-2020/Photos/S37_5202_Thumbnail.jpg,https://www.flsenate.gov/Senators/2018-2020/S37/5202,,,,
2018-2020,"Rouson, Darryl Ervin",19,Democrat,"Consisted of parts of Hillsborough, Pinellas counties",https://www.flsenate.gov/PublishedContent/Senators/2018-2020/Photos/S19_5203_Thumbnail.jpg,https://www.flsenate.gov/Senators/2018-2020/S19/5203,,,,
2018-2020,"Simmons, David ",9,Republican,Consisted of Seminole county and part of Volusia county,https://www.flsenate.gov/PublishedContent/Senators/2018-2020/Photos/S09_4682_Thumbnail.jpg,https://www.flsenate.gov/Senators/2018-2020/S9/4682,President Pro Tempore,,,
2018-2020,"Simpson, Wilton",10,Republican,"Consisted of Citrus, Hernando counties and part of Pasco county",https://www.flsenate.gov/PublishedContent/Senators/2018-2020/Photos/S10_5104_Thumbnail.jpg,https://www.flsenate.gov/Senators/2018-2020/S10/5104,,,,
2018-2020,"Stargel, Kelli",22,Republican,"Consisted of parts of Lake, Polk counties",https://www.flsenate.gov/PublishedContent/Senators/2018-2020/Photos/S22_5105_Thumbnail.jpg,https://www.flsenate.gov/Senators/2018-2020/S22/5105,,,,
2018-2020,"Stewart, Linda",13,Democrat,Consisted of part of Orange county,https://www.flsenate.gov/PublishedContent/Senators/2018-2020/Photos/S13_5205_Thumbnail.jpg,https://www.flsenate.gov/Senators/2018-2020/S13/5205,,,,
2018-2020,"Taddeo, Annette",40,Democrat,Consisted of part of Miami-Dade county,https://www.flsenate.gov/PublishedContent/Senators/2018-2020/Photos/S40_5331_Thumbnail.jpg,https://www.flsenate.gov/Senators/2018-2020/S40/5331,,,,
2018-2020,"Thurston, Perry E. , Jr.",33,Democrat,Consisted of part of Broward county,https://www.flsenate.gov/PublishedContent/Senators/2018-2020/Photos/S33_5191_Thumbnail.jpg,https://www.flsenate.gov/Senators/2018-2020/S33/5191,,,,
2018-2020,"Torres, Victor M. , Jr.",15,Democrat,Consisted of Osceola county and part of Orange county,https://www.flsenate.gov/PublishedContent/Senators/2018-2020/Photos/S15_5206_Thumbnail.jpg,https://www.flsenate.gov/Senators/2018-2020/S15/5206,,,,
2018-2020,"Wright, Tom A.",14,Republican,"Consisted of parts of Brevard, Volusia counties",https://www.flsenate.gov/PublishedContent/Senators/2018-2020/Photos/S14_5346_Thumbnail.jpg,https://www.flsenate.gov/Senators/2018-2020/S14/5346,,,,
2016-2018,"Artiles, Frank ",40,Republican,Consisted of part of Miami-Dade county,https://www.flsenate.gov/PublishedContent/Senators/2016-2018/Photos/S40_5197_Thumbnail.jpg,https://www.flsenate.gov/Senators/2016-2018/S40/5197,, 4/21/2017,,
2016-2018,"Baxley, Dennis",12,Republican,"Consisted of Sumter county and parts of Lake, Marion counties",https://www.flsenate.gov/PublishedContent/Senators/2016-2018/Photos/S12_5192_Thumbnail.jpg,https://www.flsenate.gov/Senators/2016-2018/S12/5192,,,,
2016-2018,"Bean, Aaron",4,Republican,Consisted of Nassau county and part of Duval county,https://www.flsenate.gov/PublishedContent/Senators/2016-2018/Photos/S04_5094_Thumbnail.jpg,https://www.flsenate.gov/Senators/2016-2018/S4/5094,,,,
2016-2018,"Benacquisto, Lizbeth",27,Republican,Consisted of part of Lee county,https://www.flsenate.gov/PublishedContent/Senators/2016-2018/Photos/S27_5047_Thumbnail.jpg,https://www.flsenate.gov/Senators/2016-2018/S27/5047,,,,
2016-2018,"Book, Lauren",32,Democrat,Consisted of part of Broward county,https://www.flsenate.gov/PublishedContent/Senators/2016-2018/Photos/S32_5189_Thumbnail.jpg,https://www.flsenate.gov/Senators/2016-2018/S32/5189,,,,
2016-2018,"Bracy, Randolph",11,Democrat,Consisted of part of Orange county,https://www.flsenate.gov/PublishedContent/Senators/2016-2018/Photos/S11_5193_Thumbnail.jpg,https://www.flsenate.gov/Senators/2016-2018/S11/5193,,,,
2016-2018,"Bradley, Rob",5,Republican,"Consisted of Baker, Bradford, Clay, Columbia, Dixie, Gilchrist, Lafayette, Levy, Suwannee, Union counties and part of Marion county",https://www.flsenate.gov/PublishedContent/Senators/2016-2018/Photos/S05_5101_Thumbnail.jpg,https://www.flsenate.gov/Senators/2016-2018/S5/5101,,,,
2016-2018,"Brandes, Jeff",24,Republican,Consisted of part of Pinellas county,https://www.flsenate.gov/PublishedContent/Senators/2016-2018/Photos/S24_5095_Thumbnail.jpg,https://www.flsenate.gov/Senators/2016-2018/S24/5095,,,,
2016-2018,"Braynon II, Oscar ",35,Democrat,"Consisted of parts of Broward, Miami-Dade counties",https://www.flsenate.gov/PublishedContent/Senators/2016-2018/Photos/S35_5007_Thumbnail.jpg,https://www.flsenate.gov/Senators/2016-2018/S35/5007,Minority (Democratic) Leader,,,
2016-2018,"Broxson, Doug",1,Republican,"Consisted of Escambia, Santa Rosa counties and part of Okaloosa county",https://www.flsenate.gov/PublishedContent/Senators/2016-2018/Photos/S01_5194_Thumbnail.jpg,https://www.flsenate.gov/Senators/2016-2018/S1/5194,,,,
2016-2018,"Campbell, Daphne",38,Democrat,Consisted of part of Miami-Dade county,https://www.flsenate.gov/PublishedContent/Senators/2016-2018/Photos/S38_5195_Thumbnail.jpg,https://www.flsenate.gov/Senators/2016-2018/S38/5195,,,,
