term,name,district,party,counties,image_link,senator_link,position,resigned,died_in_office,elected
2010-2012,"Bullard, Larcenia J.",39,Democrat,"Consisted of Monroe county and parts of Broward, Collier, Hendry, Miami-Dade, Palm Beach counties",https://www.flsenate.gov/PublishedContent/Senators/2010-2012/Photos/S39_4453_Thumbnail.jpg,https://www.flsenate.gov/Senators/2010-2012/S39/4453,,,,
2010-2012,"Dean, Charles S. ""Charlie"" , Sr.",3,Republican,"Consisted of Baker, Dixie, Hamilton, Lafayette, Suwannee, Taylor counties and parts of Citrus, Columbia, Jefferson, Leon, Levy, Madison, Marion counties",https://www.flsenate.gov/PublishedContent/Senators/2010-2012/Photos/S03_4756_Thumbnail.jpg,https://www.flsenate.gov/Senators/2010-2012/S3/4756,,,,
2010-2012,"Detert, Nancy C.",23,Republican,"Consisted of parts of Charlotte, Manatee, Sarasota counties",https://www.flsenate.gov/PublishedContent/Senators/2010-2012/Photos/S23_4621_Thumbnail.jpg,https://www.flsenate.gov/Senators/2010-2012/S23/4621,,,,
2010-2012,"Diaz de la Portilla, Miguel",36,Republican,Consisted of part of Miami-Dade county,https://www.flsenate.gov/PublishedContent/Senators/2010-2012/Photos/S36_5044_Thumbnail.jpg,https://www.flsenate.gov/Senators/2010-2012/S36/5044,,,,
2010-2012,"Dockery, Paula",15,Republican,"Consisted of parts of Hernando, Lake, Osceola, Polk, Sumter counties",https://www.flsenate.gov/PublishedContent/Senators/2010-2012/Photos/S15_4594_Thumbnail.jpg,https://www.flsenate.gov/Senators/2010-2012/S15/4594,,,,
2010-2012,"Evers, Greg",2,Republican,"Consisted of Holmes, Washington counties and parts of Bay, Escambia, Okaloosa, Santa Rosa, Walton counties",https://www.flsenate.gov/PublishedContent/Senators/2010-2012/Photos/S02_4728_Thumbnail.jpg,https://www.flsenate.gov/Senators/2010-2012/S2/4728,,,,
2010-2012,"Fasano, Mike",11,Republican,"Consisted of parts of Citrus, Hernando, Pasco, Pinellas counties",https://www.flsenate.gov/PublishedContent/Senators/2010-2012/Photos/S11_4517_Thumbnail.jpg,https://www.flsenate.gov/Senators/2010-2012/S11/4517,,,,
2010-2012,"Flores, Anitere",38,Republican,Consisted of part of Miami-Dade county,https://www.flsenate.gov/PublishedContent/Senators/2010-2012/Photos/S38_4783_Thumbnail.jpg,https://www.flsenate.gov/Senators/2010-2012/S38/4783,,,,
2010-2012,"Gaetz, Don",4,Republican,"Consisted of parts of Bay, Escambia, Okaloosa, Santa Rosa, Walton counties",https://www.flsenate.gov/PublishedContent/Senators/2010-2012/Photos/S04_4804_Thumbnail.jpg,https://www.flsenate.gov/Senators/2010-2012/S4/4804,,,,
2010-2012,"Garcia, Rene",40,Republican,Consisted of part of Miami-Dade county,https://www.flsenate.gov/PublishedContent/Senators/2010-2012/Photos/S40_4717_Thumbnail.jpg,https://www.flsenate.gov/Senators/2010-2012/S40/4717,,,,
2010-2012,"Gardiner, Andy ",9,Republican,"Consisted of parts of Orange, Osceola, Seminole counties",https://www.flsenate.gov/PublishedContent/Senators/2010-2012/Photos/S09_4684_Thumbnail.jpg,https://www.flsenate.gov/Senators/2010-2012/S9/4684,Majority (Republican) Leader,,,
2010-2012,"Gibson, Audrey ",1,Democrat,"Consisted of parts of Duval, Flagler, Putnam, St. Johns, Volusia counties",https://www.flsenate.gov/PublishedContent/Senators/2010-2012/Photos/S01_4765_Thumbnail.jpg,https://www.flsenate.gov/Senators/2010-2012/S1/4765,,,, 10/18/2011
2010-2012,"Haridopolos, Mike ",26,Republican,"Consisted of parts of Brevard, Indian River, Osceola, St. Lucie counties",https://www.flsenate.gov/PublishedContent/Senators/2010-2012/Photos/S26_4677_Thumbnail.jpg,https://www.flsenate.gov/Senators/2010-2012/S26/4677,President,,,
2010-2012,"Hays, Alan",20,Republican,"Consisted of parts of Lake, Marion, Seminole, Sumter, Volusia counties",https://www.flsenate.gov/PublishedContent/Senators/2010-2012/Photos/S20_4787_Thumbnail.jpg,https://www.flsenate.gov/Senators/2010-2012/S20/4787,,,,
2010-2012,"Hill, Anthony C. ""Tony"" , Sr.",1,Democrat,"Consisted of parts of Duval, Flagler, Putnam, St. Johns, Volusia counties",https://www.flsenate.gov/PublishedContent/Senators/2010-2012/Photos/S01_4494_Thumbnail.jpg,https://www.flsenate.gov/Senators/2010-2012/S1/4494,, 10/1/2011,,
2010-2012,"Jones, Dennis L.",13,Republican,Consisted of part of Pinellas county,https://www.flsenate.gov/PublishedContent/Senators/2010-2012/Photos/S13_4209_Thumbnail.jpg,https://www.flsenate.gov/Senators/2010-2012/S13/4209,,,,
2010-2012,"Joyner, Arthenia L.",18,Democrat,"Consisted of parts of Hillsborough, Manatee, Pinellas counties",https://www.flsenate.gov/PublishedContent/Senators/2010-2012/Photos/S18_4697_Thumbnail.jpg,https://www.flsenate.gov/Senators/2010-2012/S18/4697,,,,
2010-2012,"Latvala, Jack",16,Republican,"Consisted of parts of Hillsborough, Pinellas counties",https://www.flsenate.gov/PublishedContent/Senators/2010-2012/Photos/S16_4514_Thumbnail.jpg,https://www.flsenate.gov/Senators/2010-2012/S16/4514,,,,
2010-2012,"Lynn, Evelyn J.",7,Republican,"Consisted of parts of Clay, Marion, Putnam, Volusia counties",https://www.flsenate.gov/PublishedContent/Senators/2010-2012/Photos/S07_4521_Thumbnail.jpg,https://www.flsenate.gov/Senators/2010-2012/S7/4521,,,,
2010-2012,"Margolis, Gwen",35,Democrat,"Consisted of parts of Broward, Miami-Dade counties",https://www.flsenate.gov/PublishedContent/Senators/2010-2012/Photos/S35_4128_Thumbnail.jpg,https://www.flsenate.gov/Senators/2010-2012/S35/4128,,,,
2010-2012,"Montford, Bill",6,Democrat,"Consisted of Calhoun, Franklin, Gadsden, Gulf, Jackson, Liberty, Wakulla counties and parts of Bay, Jefferson, Leon, Madison counties",https://www.flsenate.gov/PublishedContent/Senators/2010-2012/Photos/S06_5045_Thumbnail.jpg,https://www.flsenate.gov/Senators/2010-2012/S6/5045,,,,
2010-2012,"Negron, Joe",28,Republican,"Consisted of Martin county and parts of Indian River, Okeechobee, Palm Beach, St. Lucie counties",https://www.flsenate.gov/PublishedContent/Senators/2010-2012/Photos/S28_4688_Thumbnail.jpg,https://www.flsenate.gov/Senators/2010-2012/S28/4688,,,,
2010-2012,"Norman, Jim",12,Republican,"Consisted of parts of Hillsborough, Pasco counties",https://www.flsenate.gov/PublishedContent/Senators/2010-2012/Photos/S12_5046_Thumbnail.jpg,https://www.flsenate.gov/Senators/2010-2012/S12/5046,,,,
2010-2012,"Oelrich, Steve",14,Republican,"Consisted of Alachua, Bradford, Gilchrist, Union counties and parts of Columbia, Levy, Marion, Putnam counties",https://www.flsenate.gov/PublishedContent/Senators/2010-2012/Photos/S14_4805_Thumbnail.jpg,https://www.flsenate.gov/Senators/2010-2012/S14/4805,,,,
2010-2012,"Rich, Nan H. ",34,Democrat,"Consisted of parts of Broward, Miami-Dade counties",https://www.flsenate.gov/PublishedContent/Senators/2010-2012/Photos/S34_4698_Thumbnail.jpg,https://www.flsenate.gov/Senators/2010-2012/S34/4698,Minority (Democratic) Leader,,,
2010-2012,"Richter, Garrett",37,Republican,"Consisted of parts of Collier, Lee counties",https://www.flsenate.gov/PublishedContent/Senators/2010-2012/Photos/S37_4882_Thumbnail.jpg,https://www.flsenate.gov/Senators/2010-2012/S37/4882,,,,
2010-2012,"Ring, Jeremy",32,Democrat,Consisted of part of Broward county,https://www.flsenate.gov/PublishedContent/Senators/2010-2012/Photos/S32_4806_Thumbnail.jpg,https://www.flsenate.gov/Senators/2010-2012/S32/4806,,,,
2010-2012,"Sachs, Maria Lorts",30,Democrat,"Consisted of parts of Broward, Palm Beach counties",https://www.flsenate.gov/PublishedContent/Senators/2010-2012/Photos/S30_4892_Thumbnail.jpg,https://www.flsenate.gov/Senators/2010-2012/S30/4892,,,,
2010-2012,"Simmons, David",22,Republican,"Consisted of parts of Orange, Seminole counties",https://www.flsenate.gov/PublishedContent/Senators/2010-2012/Photos/S22_4682_Thumbnail.jpg,https://www.flsenate.gov/Senators/2010-2012/S22/4682,,,,
2010-2012,"Siplin, Gary",19,Democrat,"Consisted of parts of Orange, Osceola counties",https://www.flsenate.gov/PublishedContent/Senators/2010-2012/Photos/S19_4683_Thumbnail.jpg,https://www.flsenate.gov/Senators/2010-2012/S19/4683,,,,
2010-2012,"Smith, Christopher L.",29,Democrat,"Consisted of parts of Broward, Palm Beach counties",https://www.flsenate.gov/PublishedContent/Senators/2010-2012/Photos/S29_4634_Thumbnail.jpg,https://www.flsenate.gov/Senators/2010-2012/S29/4634,,,,
2010-2012,"Sobel, Eleanor",31,Democrat,Consisted of part of Broward county,https://www.flsenate.gov/PublishedContent/Senators/2010-2012/Photos/S31_4608_Thumbnail.jpg,https://www.flsenate.gov/Senators/2010-2012/S31/4608,,,,
2010-2012,"Storms, Ronda",10,Republican,"Consisted of parts of Hillsborough, Pasco, Polk counties",https://www.flsenate.gov/PublishedContent/Senators/2010-2012/Photos/S10_4807_Thumbnail.jpg,https://www.flsenate.gov/Senators/2010-2012/S10/4807,,,,
2010-2012,"Thrasher, John",8,Republican,"Consisted of parts of Duval, Flagler, Nassau, St. Johns, Volusia counties",https://www.flsenate.gov/PublishedContent/Senators/2010-2012/Photos/S08_4436_Thumbnail.jpg,https://www.flsenate.gov/Senators/2010-2012/S8/4436,,,,
2010-2012,"Wise, Stephen R.",5,Republican,"Consisted of parts of Clay, Duval, Nassau, St. Johns counties",https://www.flsenate.gov/PublishedContent/Senators/2010-2012/Photos/S05_4726_Thumbnail.jpg,https://www.flsenate.gov/Senators/2010-2012/S5/4726,,,,
2008-2010,"Alexander, JD",17,Republican,"Consisted of Hardee, Highlands counties and parts of DeSoto, Glades, Okeechobee, Polk, St. Lucie counties",https://www.flsenate.gov/PublishedContent/Senators/2008-2010/Photos/S17_4599_Thumbnail.jpg,https://www.flsenate.gov/Senators/2008-2010/S17/4599,,,,
2008-2010,"Altman, Thad",24,Republican,"Consisted of parts of Brevard, Orange, Seminole counties",https://www.flsenate.gov/PublishedContent/Senators/2008-2010/Photos/S24_4770_Thumbnail.jpg,https://www.flsenate.gov/Senators/2008-2010/S24/4770,,,,
2008-2010,"Aronberg, Dave",27,Democrat,"Consisted of parts of Charlotte, Glades, Hendry, Lee, Palm Beach counties",https://www.flsenate.gov/PublishedContent/Senators/2008-2010/Photos/S27_4731_Thumbnail.jpg,https://www.flsenate.gov/Senators/2008-2010/S27/4731,,,,
2008-2010,"Atwater, Jeff ",25,Republican,"Consisted of parts of Broward, Palm Beach counties",https://www.flsenate.gov/PublishedContent/Senators/2008-2010/Photos/S25_4689_Thumbnail.jpg,https://www.flsenate.gov/Senators/2008-2010/S25/4689,President,,,
2008-2010,"Baker, Carey",20,Republican,"Consisted of parts of Lake, Marion, Seminole, Sumter, Volusia counties",https://www.flsenate.gov/PublishedContent/Senators/2008-2010/Photos/S20_4676_Thumbnail.jpg,https://www.flsenate.gov/Senators/2008-2010/S20/4676,,,,
2008-2010,"Bennett, Michael S. ""Mike""",21,Republican,"Consisted of parts of Charlotte, DeSoto, Lee, Manatee, Sarasota counties",https://www.flsenate.gov/PublishedContent/Senators/2008-2010/Photos/S21_4656_Thumbnail.jpg,https://www.flsenate.gov/Senators/2008-2010/S21/4656,,,,
2008-2010,"Bullard, Larcenia J.",39,Democrat,"Consisted of Monroe county and parts of Broward, Collier, Hendry, Miami-Dade, Palm Beach counties",https://www.flsenate.gov/PublishedContent/Senators/2008-2010/Photos/S39_4453_Thumbnail.jpg,https://www.flsenate.gov/Senators/2008-2010/S39/4453,,,,
2008-2010,"Constantine, Lee",22,Republican,"Consisted of parts of Orange, Seminole counties",https://www.flsenate.gov/PublishedContent/Senators/2008-2010/Photos/S22_4485_Thumbnail.jpg,https://www.flsenate.gov/Senators/2008-2010/S22/4485,,,,
2008-2010,"Crist, Victor D.",12,Republican,"Consisted of parts of Hillsborough, Pasco counties",https://www.flsenate.gov/PublishedContent/Senators/2008-2010/Photos/S12_4492_Thumbnail.jpg,https://www.flsenate.gov/Senators/2008-2010/S12/4492,,,,
2008-2010,"Dean, Charles S. ""Charlie"" , Sr.",3,Republican,"Consisted of Baker, Dixie, Hamilton, Lafayette, Suwannee, Taylor counties and parts of Citrus, Columbia, Jefferson, Leon, Levy, Madison, Marion counties",https://www.flsenate.gov/PublishedContent/Senators/2008-2010/Photos/S03_4756_Thumbnail.jpg,https://www.flsenate.gov/Senators/2008-2010/S3/4756,,,,
2008-2010,"Detert, Nancy C.",23,Republican,"Consisted of parts of Charlotte, Manatee, Sarasota counties",https://www.flsenate.gov/PublishedContent/Senators/2008-2010/Photos/S23_4621_Thumbnail.jpg,https://www.flsenate.gov/Senators/2008-2010/S23/4621,,,,
2008-2010,"Deutch, Ted ",30,Democrat,"Consisted of parts of Broward, Palm Beach counties",https://www.flsenate.gov/PublishedContent/Senators/2008-2010/Photos/S30_4803_Thumbnail.jpg,https://www.flsenate.gov/Senators/2008-2010/S30/4803,, 4/15/2010,,
2008-2010,"Diaz de la Portilla, Alex ",36,Republican,Consisted of part of Miami-Dade county,https://www.flsenate.gov/PublishedContent/Senators/2008-2010/Photos/S36_4649_Thumbnail.jpg,https://www.flsenate.gov/Senators/2008-2010/S36/4649,Majority (Republican) Leader,,,
2008-2010,"Dockery, Paula",15,Republican,"Consisted of parts of Hernando, Lake, Osceola, Polk, Sumter counties",https://www.flsenate.gov/PublishedContent/Senators/2008-2010/Photos/S15_4594_Thumbnail.jpg,https://www.flsenate.gov/Senators/2008-2010/S15/4594,,,,
2008-2010,"Fasano, Mike ",11,Republican,"Consisted of parts of Citrus, Hernando, Pasco, Pinellas counties",https://www.flsenate.gov/PublishedContent/Senators/2008-2010/Photos/S11_4517_Thumbnail.jpg,https://www.flsenate.gov/Senators/2008-2010/S11/4517,President Pro Tempore,,,
2008-2010,"Gaetz, Don",4,Republican,"Consisted of parts of Bay, Escambia, Okaloosa, Santa Rosa, Walton counties",https://www.flsenate.gov/PublishedContent/Senators/2008-2010/Photos/S04_4804_Thumbnail.jpg,https://www.flsenate.gov/Senators/2008-2010/S4/4804,,,,
2008-2010,"Garcia, Rudy",40,Republican,Consisted of part of Miami-Dade county,https://www.flsenate.gov/PublishedContent/Senators/2008-2010/Photos/S40_4322_Thumbnail.jpg,https://www.flsenate.gov/Senators/2008-2010/S40/4322,,,,
2008-2010,"Gardiner, Andy",9,Republican,"Consisted of parts of Orange, Osceola, Seminole counties",https://www.flsenate.gov/PublishedContent/Senators/2008-2010/Photos/S09_4684_Thumbnail.jpg,https://www.flsenate.gov/Senators/2008-2010/S9/4684,,,,
2008-2010,"Gelber, Dan",35,Democrat,"Consisted of parts of Broward, Miami-Dade counties",https://www.flsenate.gov/PublishedContent/Senators/2008-2010/Photos/S35_4701_Thumbnail.jpg,https://www.flsenate.gov/Senators/2008-2010/S35/4701,,,,
2008-2010,"Haridopolos, Mike",26,Republican,"Consisted of parts of Brevard, Indian River, Osceola, St. Lucie counties",https://www.flsenate.gov/PublishedContent/Senators/2008-2010/Photos/S26_4677_Thumbnail.jpg,https://www.flsenate.gov/Senators/2008-2010/S26/4677,,,,
2008-2010,"Hill, Anthony C. ""Tony"" , Sr.",1,Democrat,"Consisted of parts of Duval, Flagler, Putnam, St. Johns, Volusia counties",https://www.flsenate.gov/PublishedContent/Senators/2008-2010/Photos/S01_4494_Thumbnail.jpg,https://www.flsenate.gov/Senators/2008-2010/S1/4494,,,,
2008-2010,"Jones, Dennis L.",13,Republican,Consisted of part of Pinellas county,https://www.flsenate.gov/PublishedContent/Senators/2008-2010/Photos/S13_4209_Thumbnail.jpg,https://www.flsenate.gov/Senators/2008-2010/S13/4209,,,,
2008-2010,"Joyner, Arthenia L.",18,Democrat,"Consisted of parts of Hillsborough, Manatee, Pinellas counties",https://www.flsenate.gov/PublishedContent/Senators/2008-2010/Photos/S18_4697_Thumbnail.jpg,https://www.flsenate.gov/Senators/2008-2010/S18/4697,,,,
2008-2010,"Justice, Charlie",16,Democrat,"Consisted of parts of Hillsborough, Pinellas counties",https://www.flsenate.gov/PublishedContent/Senators/2008-2010/Photos/S16_4690_Thumbnail.jpg,https://www.flsenate.gov/Senators/2008-2010/S16/4690,,,,
2008-2010,"King, James E. ""Jim"" , Jr.",8,Republican,"Consisted of parts of Duval, Flagler, Nassau, St. Johns, Volusia counties",https://www.flsenate.gov/PublishedContent/Senators/2008-2010/Photos/S08_4641_Thumbnail.jpg,https://www.flsenate.gov/Senators/2008-2010/S8/4641,,, 7/26/2009,
2008-2010,"Lawson, Alfred ""Al"" , Jr.",6,Democrat,"Consisted of Calhoun, Franklin, Gadsden, Gulf, Jackson, Liberty, Wakulla counties and parts of Bay, Jefferson, Leon, Madison counties",https://www.flsenate.gov/PublishedContent/Senators/2008-2010/Photos/S06_4292_Thumbnail.jpg,https://www.flsenate.gov/Senators/2008-2010/S6/4292,Minority (Democratic) Leader,,,
2008-2010,"Lynn, Evelyn J.",7,Republican,"Consisted of parts of Clay, Marion, Putnam, Volusia counties",https://www.flsenate.gov/PublishedContent/Senators/2008-2010/Photos/S07_4521_Thumbnail.jpg,https://www.flsenate.gov/Senators/2008-2010/S7/4521,,,,
2008-2010,"Oelrich, Steve",14,Republican,"Consisted of Alachua, Bradford, Gilchrist, Union counties and parts of Columbia, Levy, Marion, Putnam counties",https://www.flsenate.gov/PublishedContent/Senators/2008-2010/Photos/S14_4805_Thumbnail.jpg,https://www.flsenate.gov/Senators/2008-2010/S14/4805,,,,
2008-2010,"Peaden, Durell , Jr.",2,Republican,"Consisted of Holmes, Washington counties and parts of Bay, Escambia, Okaloosa, Santa Rosa, Walton counties",https://www.flsenate.gov/PublishedContent/Senators/2008-2010/Photos/S02_4527_Thumbnail.jpg,https://www.flsenate.gov/Senators/2008-2010/S2/4527,,,,
2008-2010,"Pruitt, Ken ",28,Republican,"Consisted of Martin county and parts of Indian River, Okeechobee, Palm Beach, St. Lucie counties",https://www.flsenate.gov/PublishedContent/Senators/2008-2010/Photos/S28_4407_Thumbnail.jpg,https://www.flsenate.gov/Senators/2008-2010/S28/4407,, 8/4/2009,,
2008-2010,"Rich, Nan H.",34,Democrat,"Consisted of parts of Broward, Miami-Dade counties",https://www.flsenate.gov/PublishedContent/Senators/2008-2010/Photos/S34_4698_Thumbnail.jpg,https://www.flsenate.gov/Senators/2008-2010/S34/4698,,,,
2008-2010,"Richter, Garrett",37,Republican,"Consisted of parts of Collier, Lee counties",https://www.flsenate.gov/PublishedContent/Senators/2008-2010/Photos/S37_4882_Thumbnail.jpg,https://www.flsenate.gov/Senators/2008-2010/S37/4882,,,,
2008-2010,"Ring, Jeremy",32,Democrat,Consisted of part of Broward county,https://www.flsenate.gov/PublishedContent/Senators/2008-2010/Photos/S32_4806_Thumbnail.jpg,https://www.flsenate.gov/Senators/2008-2010/S32/4806,,,,
2008-2010,"Siplin, Gary",19,Democrat,"Consisted of parts of Orange, Osceola counties",https://www.flsenate.gov/PublishedContent/Senators/2008-2010/Photos/S19_4683_Thumbnail.jpg,https://www.flsenate.gov/Senators/2008-2010/S19/4683,,,,
2008-2010,"Smith, Christopher L.",29,Democrat,"Consisted of parts of Broward, Palm Beach counties",https://www.flsenate.gov/PublishedContent/Senators/2008-2010/Photos/S29_4634_Thumbnail.jpg,https://www.flsenate.gov/Senators/2008-2010/S29/4634,,,,
2008-2010,"Sobel, Eleanor",31,Democrat,Consisted of part of Broward county,https://www.flsenate.gov/PublishedContent/Senators/2008-2010/Photos/S31_4608_Thumbnail.jpg,https://www.flsenate.gov/Senators/2008-2010/S31/4608,,,,
2008-2010,"Storms, Ronda",10,Republican,"Consisted of parts of Hillsborough, Pasco, Polk counties",https://www.flsenate.gov/PublishedContent/Senators/2008-2010/Photos/S10_4807_Thumbnail.jpg,https://www.flsenate.gov/Senators/2008-2010/S10/4807,,,,
2008-2010,"Thrasher, John ",8,Republican,"Consisted of parts of Duval, Flagler, Nassau, St. Johns, Volusia counties",https://www.flsenate.gov/PublishedContent/Senators/2008-2010/Photos/S08_4436_Thumbnail.jpg,https://www.flsenate.gov/Senators/2008-2010/S8/4436,,,, 10/6/2009
2008-2010,"Villalobos, J. Alex",38,Republican,Consisted of part of Miami-Dade county,https://www.flsenate.gov/PublishedContent/Senators/2008-2010/Photos/S38_4483_Thumbnail.jpg,https://www.flsenate.gov/Senators/2008-2010/S38/4483,,,,
2008-2010,"Wilson, Frederica S.",33,Democrat,Consisted of part of Miami-Dade county,https://www.flsenate.gov/PublishedContent/Senators/2008-2010/Photos/S33_4632_Thumbnail.jpg,https://www.flsenate.gov/Senators/2008-2010/S33/4632,,,,
2008-2010,"Wise, Stephen R.",5,Republican,"Consisted of parts of Clay, Duval, Nassau, St. Johns counties",https://www.flsenate.gov/PublishedContent/Senators/2008-2010/Photos/S05_4726_Thumbnail.jpg,https://www.flsenate.gov/Senators/2008-2010/S5/4726,,,,
2006-2008,"Alexander, JD",17,Republican,"Consisted of Hardee, Highlands counties and parts of DeSoto, Glades, Okeechobee, Polk, St. Lucie counties",https://www.flsenate.gov/PublishedContent/Senators/2006-2008/Photos/S17_4599_Thumbnail.jpg,https://www.flsenate.gov/Senators/2006-2008/S17/4599,,,,
2006-2008,"Argenziano, Nancy",3,Republican,"Consisted of Baker, Dixie, Hamilton, Lafayette, Suwannee, Taylor counties and parts of Citrus, Columbia, Jefferson, Leon, Levy, Madison, Marion counties",https://www.flsenate.gov/PublishedContent/Senators/2006-2008/Photos/S03_4578_Thumbnail.jpg,https://www.flsenate.gov/Senators/2006-2008/S3/4578,,,,
2006-2008,"Aronberg, Dave",27,Democrat,"Consisted of parts of Charlotte, Glades, Hendry, Lee, Palm Beach counties",https://www.flsenate.gov/PublishedContent/Senators/2006-2008/Photos/S27_4731_Thumbnail.jpg,https://www.flsenate.gov/Senators/2006-2008/S27/4731,,,,
2006-2008,"Atwater, Jeff",25,Republican,"Consisted of parts of Broward, Palm Beach counties",https://www.flsenate.gov/PublishedContent/Senators/2006-2008/Photos/S25_4689_Thumbnail.jpg,https://www.flsenate.gov/Senators/2006-2008/S25/4689,,,,
2006-2008,"Baker, Carey",20,Republican,"Consisted of parts of Lake, Marion, Seminole, Sumter, Volusia counties",https://www.flsenate.gov/PublishedContent/Senators/2006-2008/Photos/S20_4676_Thumbnail.jpg,https://www.flsenate.gov/Senators/2006-2008/S20/4676,,,,
2006-2008,"Bennett, Michael S. ""Mike""",21,Republican,"Consisted of parts of Charlotte, DeSoto, Lee, Manatee, Sarasota counties",https://www.flsenate.gov/PublishedContent/Senators/2006-2008/Photos/S21_4656_Thumbnail.jpg,https://www.flsenate.gov/Senators/2006-2008/S21/4656,,,,
2006-2008,"Bullard, Larcenia J.",39,Democrat,"Consisted of Monroe county and parts of Broward, Collier, Hendry, Miami-Dade, Palm Beach counties",https://www.flsenate.gov/PublishedContent/Senators/2006-2008/Photos/S39_4453_Thumbnail.jpg,https://www.flsenate.gov/Senators/2006-2008/S39/4453,,,,
2006-2008,"Carlton, Lisa ",23,Republican,"Consisted of parts of Charlotte, Manatee, Sarasota counties",https://www.flsenate.gov/PublishedContent/Senators/2006-2008/Photos/S23_4604_Thumbnail.jpg,https://www.flsenate.gov/Senators/2006-2008/S23/4604,President Pro Tempore,,,
2006-2008,"Constantine, Lee",22,Republican,"Consisted of parts of Orange, Seminole counties",https://www.flsenate.gov/PublishedContent/Senators/2006-2008/Photos/S22_4485_Thumbnail.jpg,https://www.flsenate.gov/Senators/2006-2008/S22/4485,,,,
2006-2008,"Crist, Victor D.",12,Republican,"Consisted of parts of Hillsborough, Pasco counties",https://www.flsenate.gov/PublishedContent/Senators/2006-2008/Photos/S12_4492_Thumbnail.jpg,https://www.flsenate.gov/Senators/2006-2008/S12/4492,,,,
2006-2008,"Dawson, M. Mandy",29,Democrat,"Consisted of parts of Broward, Palm Beach counties",https://www.flsenate.gov/PublishedContent/Senators/2006-2008/Photos/S29_4605_Thumbnail.jpg,https://www.flsenate.gov/Senators/2006-2008/S29/4605,,,,
2006-2008,"Deutch, Ted",30,Democrat,"Consisted of parts of Broward, Palm Beach counties",https://www.flsenate.gov/PublishedContent/Senators/2006-2008/Photos/S30_4803_Thumbnail.jpg,https://www.flsenate.gov/Senators/2006-2008/S30/4803,,,,
2006-2008,"Diaz de la Portilla, Alex",36,Republican,Consisted of part of Miami-Dade county,https://www.flsenate.gov/PublishedContent/Senators/2006-2008/Photos/S36_4649_Thumbnail.jpg,https://www.flsenate.gov/Senators/2006-2008/S36/4649,,,,
2006-2008,"Dockery, Paula",15,Republican,"Consisted of parts of Hernando, Lake, Osceola, Polk, Sumter counties",https://www.flsenate.gov/PublishedContent/Senators/2006-2008/Photos/S15_4594_Thumbnail.jpg,https://www.flsenate.gov/Senators/2006-2008/S15/4594,,,,
2006-2008,"Fasano, Mike",11,Republican,"Consisted of parts of Citrus, Hernando, Pasco, Pinellas counties",https://www.flsenate.gov/PublishedContent/Senators/2006-2008/Photos/S11_4517_Thumbnail.jpg,https://www.flsenate.gov/Senators/2006-2008/S11/4517,,,,
2006-2008,"Gaetz, Don",4,Republican,"Consisted of parts of Bay, Escambia, Okaloosa, Santa Rosa, Walton counties",https://www.flsenate.gov/PublishedContent/Senators/2006-2008/Photos/S04_4804_Thumbnail.jpg,https://www.flsenate.gov/Senators/2006-2008/S4/4804,,,,
2006-2008,"Garcia, Rudy",40,Republican,Consisted of part of Miami-Dade county,https://www.flsenate.gov/PublishedContent/Senators/2006-2008/Photos/S40_4322_Thumbnail.jpg,https://www.flsenate.gov/Senators/2006-2008/S40/4322,,,,
2006-2008,"Geller, Steven A. ",31,Democrat,Consisted of part of Broward county,https://www.flsenate.gov/PublishedContent/Senators/2006-2008/Photos/S31_4598_Thumbnail.jpg,https://www.flsenate.gov/Senators/2006-2008/S31/4598,Minority (Democratic) Leader,,,
2006-2008,"Haridopolos, Mike",26,Republican,"Consisted of parts of Brevard, Indian River, Osceola, St. Lucie counties",https://www.flsenate.gov/PublishedContent/Senators/2006-2008/Photos/S26_4677_Thumbnail.jpg,https://www.flsenate.gov/Senators/2006-2008/S26/4677,,,,
2006-2008,"Hill, Anthony C. ""Tony"" , Sr.",1,Democrat,"Consisted of parts of Duval, Flagler, Putnam, St. Johns, Volusia counties",https://www.flsenate.gov/PublishedContent/Senators/2006-2008/Photos/S01_4494_Thumbnail.jpg,https://www.flsenate.gov/Senators/2006-2008/S1/4494,,,,
2006-2008,"Jones, Dennis L.",13,Republican,Consisted of part of Pinellas county,https://www.flsenate.gov/PublishedContent/Senators/2006-2008/Photos/S13_4209_Thumbnail.jpg,https://www.flsenate.gov/Senators/2006-2008/S13/4209,,,,
2006-2008,"Joyner, Arthenia L.",18,Democrat,"Consisted of parts of Hillsborough, Manatee, Pinellas counties",https://www.flsenate.gov/PublishedContent/Senators/2006-2008/Photos/S18_4697_Thumbnail.jpg,https://www.flsenate.gov/Senators/2006-2008/S18/4697,,,,
2006-2008,"Justice, Charlie",16,Democrat,"Consisted of parts of Hillsborough, Pinellas counties",https://www.flsenate.gov/PublishedContent/Senators/2006-2008/Photos/S16_4690_Thumbnail.jpg,https://www.flsenate.gov/Senators/2006-2008/S16/4690,,,,
2006-2008,"King, James E. ""Jim"" , Jr.",8,Republican,"Consisted of parts of Duval, Flagler, Nassau, St. Johns, Volusia counties",https://www.flsenate.gov/PublishedContent/Senators/2006-2008/Photos/S08_4641_Thumbnail.jpg,https://www.flsenate.gov/Senators/2006-2008/S8/4641,,,,
